Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Paul George,SF/SG/G/F/UTIL,PHI,63.5682986111111,11.13089666258464,62.35%,5.63%,9.77%,3.66%,$24.13,41
Mikal Bridges,SF/SG/G/F/UTIL,NYK,49.537556423611115,5.7561080620543725,70.28%,4.98%,9.48%,8.29%,$10.84,41
Josh Hart,PF/SF/F/UTIL,NYK,55.88266059027777,8.951928311018316,43.64%,3.19%,19.56%,5.81%,$10.27,41
Charles Bassey,C/UTIL,SAS,14.4,8.96,113.35%,0.0%,0.02%,0.1%,$7.82,48
Keaton Wallace,PG/G/UTIL,ATL,29.14,9.0,42.3%,2.33%,28.72%,31.45%,$6.65,48
Daniel Gafford,C/UTIL,DAL,33.01,14.71,40.08%,2.16%,16.14%,35.07%,$6.61,48
Olivier-Maxence Prosper,PF/SF/F/UTIL,DAL,14.83,8.04,94.45%,0.07%,0.11%,0.01%,$6.35,48
Vasilije Micic,PG/G/UTIL,CHA,7.38,4.53,112.73%,0.0%,0.02%,0.1%,$5.44,48
Jalen Brunson,PG/G/UTIL,NYK,62.7083203125,15.152909078184146,35.11%,2.65%,43.23%,20.77%,$4.84,41
OG Anunoby,PF/SF/F/UTIL,NYK,39.81875434027778,6.654932507075483,26.68%,2.74%,13.33%,14.78%,$4.47,41
Kevon Looney,C/UTIL,GSW,20.38,10.7,65.95%,2.12%,0.16%,0.04%,$3.65,48
Onyeka Okongwu,C/UTIL,ATL,31.42,13.02,27.41%,1.21%,8.37%,19.08%,$2.28,48
Buddy Hield,SF/SG/G/F/UTIL,GSW,31.18,8.56,65.72%,0.94%,4.04%,0.16%,$2.05,48
Stephen Curry,PG/G/UTIL,GSW,44.81,14.0,16.59%,1.44%,6.01%,3.65%,$1.45,48
Klay Thompson,SF/SG/G/F/UTIL,DAL,29.33,10.29,16.87%,1.14%,3.29%,1.43%,$1.33,48
David Roddy,PF/F/UTIL,ATL,19.92,8.44,23.01%,1.64%,13.08%,14.54%,$1.18,48
Julius Randle,C/PF/F/UTIL,MIN,40.37,12.62,31.98%,0.69%,11.68%,5.02%,$0.34,48
Jonathan Isaac,C/PF/F/UTIL,ORL,24.51,11.13,25.5%,1.28%,14.24%,11.68%,$-0.06,48
Stephon Castle,PG/SG/G/UTIL,SAS,29.22,9.33,25.05%,1.15%,39.11%,38.25%,$-0.11,48
Sidy Cissoko,SF/SG/G/F/UTIL,SAS,0,0.0,45.34%,0.0%,0.05%,0.03%,$-0.15,48
Jalen Smith,C/UTIL,CHI,18.26,10.51,11.19%,1.51%,1.5%,4.36%,$-0.89,48
