Set Analysis

Set 1
Player,Count,Exposure
Talen Horton-Tucker,9,90.00%
Tre Jones,7,70.00%
Onyeka Okongwu,6,60.00%
Julius Randle,4,40.00%
Jarrett Allen,4,40.00%
Anthony Edwards,4,40.00%
Giannis Antetokounmpo,4,40.00%
Jalen Smith,4,40.00%
Franz Wagner,3,30.00%
Pascal Siakam,3,30.00%
Max Strus,3,30.00%
Jalen Brunson,3,30.00%
Stephon Castle,2,20.00%
Alperen Sengun,2,20.00%
Trae Young,2,20.00%
Aaron Nesmith,2,20.00%
Matas Buzelis,2,20.00%
Paolo Banchero,2,20.00%
Scottie Barnes,1,10.00%
Dalen Terry,1,10.00%
Mikal Bridges,1,10.00%
Ty Jerome,1,10.00%
Quentin Grimes,1,10.00%
Coby White,1,10.00%
Darius Garland,1,10.00%
Andrew Nembhard,1,10.00%
Andre Drummond,1,10.00%
Josh Hart,1,10.00%
Ja'Kobe Walter,1,10.00%
Georges Niang,1,10.00%
De'Aaron Fox,1,10.00%
Donovan Mitchell,1,10.00%
Total Entries:,10


Set 2
Player,Count,Exposure
Talen Horton-Tucker,9,90.00%
Tre Jones,7,70.00%
Jarrett Allen,6,60.00%
Matas Buzelis,5,50.00%
Giannis Antetokounmpo,5,50.00%
Onyeka Okongwu,4,40.00%
Jalen Brunson,4,40.00%
Julius Randle,3,30.00%
Darius Garland,3,30.00%
Alperen Sengun,3,30.00%
Paolo Banchero,3,30.00%
Stephon Castle,3,30.00%
Trae Young,2,20.00%
Max Strus,2,20.00%
Jalen Smith,2,20.00%
Caris LeVert,2,20.00%
Coby White,2,20.00%
Jevon Carter,1,10.00%
Ty Jerome,1,10.00%
Josh Hart,1,10.00%
Ja'Kobe Walter,1,10.00%
De'Andre Hunter,1,10.00%
Pascal Siakam,1,10.00%
Andrew Nembhard,1,10.00%
Devin Vassell,1,10.00%
Quentin Grimes,1,10.00%
Anthony Edwards,1,10.00%
Jeremy Sochan,1,10.00%
Stephen Curry,1,10.00%
Franz Wagner,1,10.00%
Kyle Kuzma,1,10.00%
Andre Drummond,1,10.00%
Total Entries:,10


Set 3
Player,Count,Exposure
Tre Jones,9,90.00%
Onyeka Okongwu,7,70.00%
Talen Horton-Tucker,6,60.00%
Franz Wagner,5,50.00%
Jalen Brunson,5,50.00%
Julius Randle,4,40.00%
Paolo Banchero,4,40.00%
Giannis Antetokounmpo,3,30.00%
Caris LeVert,3,30.00%
Donovan Mitchell,3,30.00%
Alperen Sengun,2,20.00%
Jarrett Allen,2,20.00%
Ty Jerome,2,20.00%
Aaron Nesmith,2,20.00%
Zach Collins,2,20.00%
Darius Garland,2,20.00%
De'Andre Hunter,2,20.00%
Matas Buzelis,2,20.00%
Keldon Johnson,2,20.00%
Jevon Carter,1,10.00%
Stephon Castle,1,10.00%
Jeremy Sochan,1,10.00%
Damian Lillard,1,10.00%
Georges Niang,1,10.00%
Pascal Siakam,1,10.00%
Brandin Podziemski,1,10.00%
Jalen Smith,1,10.00%
Anthony Edwards,1,10.00%
Precious Achiuwa,1,10.00%
Max Strus,1,10.00%
Dalen Terry,1,10.00%
Paul George,1,10.00%
Total Entries:,10


Set 4
Player,Count,Exposure
