PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jalen Brunson (37338088),Anthony Edwards (37338044),Paul George (37338105),Josh Hart (37338127),Wendell Carter Jr. (37338391),Stephon Castle (37338477),Brice Sensabaugh (37338383),Garrison Mathews (37338609),313.71124999999995,344.1661481889767,49700,100.00%,10000,31902.34%,3436,137.99,$2552.19,NYK 2,MIN 1,opp,1,nickps,10,4610882611
Jalen Brunson (37338088),Paul George (37338105),Quentin Grimes (37338318),Julius Randle (37338149),Alperen Sengun (37338065),Keyonte George (37338282),Jonathan Isaac (37338510),Keaton Wallace (37338930),313.020625,347.5567495811462,49900,100.00%,10000,26020.66%,2490,104.58999999999999,$2081.65,NYK 1,PHI 1,opp,1,nickps,137,4610882602
Jalen Brunson (37338088),Mikal Bridges (37338239),Josh Hart (37338127),Brice Sensabaugh (37338383),Onyeka Okongwu (37338359),Keaton Wallace (37338930),Santi Aldama (37338417),Victor Wembanyama (37338018),312.591875,346.14167388751696,49900,100.00%,10000,21085.66%,1514,130.99,$1686.85,NYK 3,ATL 2,opp,1,swint,31,4611071044
Jalen Brunson (37338088),Stephon Castle (37338477),OG Anunoby (37338270),Josh Hart (37338127),Victor Wembanyama (37338018),Keaton Wallace (37338930),Brice Sensabaugh (37338383),Onyeka Okongwu (37338359),312.196875,345.7347493488315,49200,100.00%,9998,16168.7%,766,171.62,$1293.5,NYK 3,SAS 2,opp,1,oxenduck,55,4610587958
Jalen Brunson (37338088),Trey Murphy III (37338144),Mikal Bridges (37338239),Naji Marshall (37338314),Victor Wembanyama (37338018),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Daniel Gafford (37338424),310.92125,345.2101488271182,50000,100.00%,9987,11281.58%,644,158.14999999999998,$902.53,NYK 2,DAL 2,opp,1,ericbarikian,467,4610686394
Jalen Brunson (37338088),Stephon Castle (37338477),Paul George (37338105),Brice Sensabaugh (37338383),Victor Wembanyama (37338018),Coby White (37338195),Kyle Filipowski (37338420),Keaton Wallace (37338930),311.31062499999996,344.92107428418024,50000,100.00%,9996,10696.49%,360,147.82999999999998,$855.72,SAS 2,UTA 2,opp,1,rsbathla,144,4610882970
Jalen Brunson (37338088),Paul George (37338105),Brice Sensabaugh (37338383),OG Anunoby (37338270),Alperen Sengun (37338065),Keaton Wallace (37338930),Quentin Grimes (37338318),Rudy Gobert (37338268),310.94375,342.7742794291612,49000,100.00%,9996,9784.09%,316,122.17,$782.73,NYK 2,PHI 1,opp,1,mikewein,45,4611323668
Vit Krejci (37338481),Paul George (37338105),Josh Hart (37338127),OG Anunoby (37338270),Victor Wembanyama (37338018),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Daniel Gafford (37338424),309.48125,341.54823825571094,49500,100.00%,9921,5627.56%,183,185.69,$450.2,ATL 2,NYK 2,opp,1,JBCJBCJBC,48,4611015599
Stephon Castle (37338477),Mikal Bridges (37338239),Paul George (37338105),Julius Randle (37338149),Alperen Sengun (37338065),Russell Westbrook (37338173),Harrison Barnes (37338459),Wendell Carter Jr. (37338391),308.635625,339.3142560439407,49800,100.00%,9729,4127.31%,93,103.14,$330.18,SAS 2,NYK 1,opp,1,ShaidyAdvice,235,4611355681
Jalen Brunson (37338088),Paul George (37338105),Mikal Bridges (37338239),Jonathan Isaac (37338510),Walker Kessler (37338183),Bogdan Bogdanovic (37338369),Brice Sensabaugh (37338383),Amen Thompson (37338122),308.75874999999996,339.0051050414842,49900,100.00%,9859,3652.9%,64,114.31,$292.23,NYK 2,UTA 2,opp,1,cheddabisque,17,4610880301
Jalen Brunson (37338088),Cole Anthony (37338216),Paul George (37338105),Jonathan Isaac (37338510),Mark Williams (37338232),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Alperen Sengun (37338065),308.50062499999996,343.82564164662665,50000,100.00%,9825,3123.05%,33,159.51999999999998,$249.84,ORL 2,NYK 1,opp,1,ShaidyAdvice,194,4611355664
Jalen Brunson (37338088),Stephon Castle (37338477),Paul George (37338105),Julius Randle (37338149),Giannis Antetokounmpo (37338014),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Jeremiah Robinson-Earl (37338708),308.55062499999997,344.1391990243192,50000,100.00%,9905,3021.28%,35,163.71999999999997,$241.7,ATL 2,NYK 1,opp,1,abreza,186,4611315263
Jalen Brunson (37338088),Paul George (37338105),Bogdan Bogdanovic (37338369),Keldon Johnson (37338409),Victor Wembanyama (37338018),Jalen Green (37338162),Garrison Mathews (37338609),Keaton Wallace (37338930),308.43062499999996,341.7710479289979,50000,100.00%,9847,2856.77%,35,139.94,$228.54,ATL 3,SAS 2,opp,1,jb101086,184,4611301948
Jalen Brunson (37338088),Stephon Castle (37338477),Paul George (37338105),Josh Hart (37338127),Daniel Gafford (37338424),Vit Krejci (37338481),Garrison Mathews (37338609),LaMelo Ball (37338029),307.57124999999996,339.0501004189867,49800,100.00%,9618,1991.12%,5,162.75,$159.29,NYK 2,ATL 2,opp,1,tomjk321,12,4611006806
Jalen Brunson (37338088),Devin Vassell (37338234),Paul George (37338105),David Roddy (37338933),Wendell Carter Jr. (37338391),Stephon Castle (37338477),Garrison Mathews (37338609),Nikola Jokic (37338012),307.06062499999996,341.16172030622806,49600,100.00%,9404,1756.57%,6,149.56,$140.53,SAS 2,ATL 2,opp,1,moklovin,120,4610705409
Jalen Brunson (37338088),Stephon Castle (37338477),Josh Hart (37338127),OG Anunoby (37338270),Daniel Gafford (37338424),Keyonte George (37338282),Julius Randle (37338149),Russell Westbrook (37338173),306.816875,339.3099960541248,49800,100.00%,9205,1413.56%,3,136.19,$113.08,NYK 3,SAS 1,opp,1,HighPraiseHighFocus,64,4610856209
Keaton Wallace (37338930),Mikal Bridges (37338239),Josh Hart (37338127),OG Anunoby (37338270),Victor Wembanyama (37338018),Quentin Grimes (37338318),Brice Sensabaugh (37338383),Mark Williams (37338232),306.771875,338.77849802530216,49100,100.00%,9144,1408.22%,0,141.42000000000002,$112.66,NYK 3,ATL 1,opp,1,kevinroach,95,4611346339
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Paul George (37338105),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Stephon Castle (37338477),Scottie Barnes (37338057),Nikola Jokic (37338012),306.513671875,342.9803937475234,49800,100.00%,9085,1147.86%,3,188.19,$91.83,ATL 2,PHI 1,user1,1,marvalshot,4405,4611344379_1
