PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Dennis Schroder (38059180),Cole Anthony (38059140),Kevin Huerter (38059222),Justin Champagnie (38059148),Nic Claxton (38059124),Tre Jones (38059135),Paolo Banchero (38059009),Luka Doncic (38058986),284.63,283.76000000000005,374.18,50000,0.16%,7.95%,797.1%,55.34%,248.55,$31.9,ORL 2,CHI 2,generated,1
Cade Cunningham (38058993),Austin Reaves (38059044),Cam Thomas (38059068),Justin Champagnie (38059148),Draymond Green (38059073),Tre Jones (38059135),Kevin Huerter (38059222),Cole Anthony (38059140),287.31,281.88,373.53,49700,0.16%,7.98%,764.4%,59.87%,249.98,$30.6,CHI 2,DET 1,generated,1
Austin Reaves (38059044),Cole Anthony (38059140),Kevin Huerter (38059222),Justin Champagnie (38059148),Jalen Duren (38059061),Tre Jones (38059135),Karlo Matkovic (38059227),Luka Doncic (38058986),289.18,285.13,376.67,49700,0.13%,9.2%,708.7%,62.31%,276.65999999999997,$28.3,LAL 2,CHI 2,generated,1
Cade Cunningham (38058993),Kevin Huerter (38059222),Jordan Goodwin (38059281),Justin Champagnie (38059148),Nic Claxton (38059124),Tre Jones (38059135),Giannis Antetokounmpo (38058989),Wendell Carter Jr. (38059155),282.45000000000005,283.27,378.5,49800,0.16%,6.5%,700.2%,53.11%,252.41,$28.0,CHI 2,DET 1,generated,1
Tre Jones (38059135),Cole Anthony (38059140),Kevin Huerter (38059222),Justin Champagnie (38059148),Nic Claxton (38059124),Stephen Curry (38059000),Jarred Vanderbilt (38059214),Giannis Antetokounmpo (38058989),286.38,280.65000000000003,379.21000000000004,50000,0.14%,8.02%,697.6%,58.27%,246.23999999999998,$27.9,CHI 2,ORL 1,generated,1
Cade Cunningham (38058993),Cole Anthony (38059140),Coby White (38059053),Tobias Harris (38059084),Wendell Carter Jr. (38059155),Tre Jones (38059135),Kevin Huerter (38059222),Austin Reaves (38059044),288.84000000000003,283.29,372.46999999999997,50000,0.13%,7.93%,667.5%,62.39%,244.84,$26.7,CHI 3,DET 2,generated,1
Luka Doncic (38058986),Austin Reaves (38059044),Kevin Huerter (38059222),Justin Champagnie (38059148),Jalen Duren (38059061),D'Angelo Russell (38059130),Jarred Vanderbilt (38059214),Wendell Carter Jr. (38059155),280.14000000000004,275.33,369.68,49800,0.14%,6.43%,659.7%,49.63%,198.57999999999998,$26.4,LAL 3,CHI 1,generated,1
Luka Doncic (38058986),Cole Anthony (38059140),Kevin Huerter (38059222),Justin Champagnie (38059148),Giannis Antetokounmpo (38058989),Tre Jones (38059135),Karlo Matkovic (38059227),Mo Bamba (38059465),286.64000000000004,283.96,380.46000000000004,50000,0.12%,7.71%,632.4%,59.06%,272.93,$25.3,CHI 2,NOP 2,generated,1
Luka Doncic (38058986),Cole Anthony (38059140),Zion Williamson (38059003),Justin Champagnie (38059148),Nic Claxton (38059124),Kevin Huerter (38059222),Karlo Matkovic (38059227),Tre Jones (38059135),284.86,283.78999999999996,376.11,49900,0.12%,7.85%,626.9%,55.78%,276.85,$25.1,NOP 2,CHI 2,generated,1
Austin Reaves (38059044),Kevin Huerter (38059222),Marcus Smart (38059234),Justin Champagnie (38059148),Nikola Vucevic (38059051),Tre Jones (38059135),Giannis Antetokounmpo (38058989),Cole Anthony (38059140),284.75,280.0,376.48999999999995,50000,0.13%,6.71%,616.9%,56.55%,234.04000000000002,$24.7,CHI 3,WAS 2,generated,1
