Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jaxson hayes,C/UTIL,LAL,32.99%,0.01%,1.64%,5.57%,8.67%,$0.25
jonas valanciunas,C/UTIL,WAS,33.89%,0.01%,1.62%,20.27%,33.7%,$0.21
rob dillingham,PG/G/UTIL,MIN,30.85%,0.01%,1.51%,2.88%,1.98%,$0.18
lebron james,PF/F/UTIL,LAL,34.01%,0.01%,1.42%,27.9%,48.17%,$0.12
julius randle,C/PF/F/UTIL,MIN,30.75%,0.01%,1.24%,23.9%,21.2%,$-0.0
darius garland,PG/G/UTIL,CLE,29.44%,0.01%,1.26%,17.06%,20.85%,$-0.01
austin reaves,PG/G/UTIL,LAL,29.39%,0.01%,1.22%,13.36%,17.11%,$-0.02
kyle kuzma,PF/F/UTIL,WAS,28.81%,0.01%,1.21%,8.01%,9.31%,$-0.03
ty jerome,PG/G/UTIL,CLE,29.06%,0.01%,1.18%,22.8%,26.47%,$-0.05
rui hachimura,PF/SF/F/UTIL,LAL,28.76%,0.01%,1.16%,13.09%,9.89%,$-0.06
max christie,SF/SG/G/F/UTIL,LAL,29.38%,0.01%,1.16%,14.76%,8.64%,$-0.06
brandon clarke,C/UTIL,MEM,28.01%,0.01%,1.11%,8.13%,9.29%,$-0.08
jordan poole,PG/G/UTIL,WAS,28.39%,0.01%,1.13%,14.33%,16.25%,$-0.08
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,28.57%,0.0%,1.07%,63.07%,47.34%,$-0.11
jarrett allen,C/UTIL,CLE,27.79%,0.0%,1.06%,14.56%,24.2%,$-0.11
max strus,SF/SG/G/F/UTIL,CLE,28.6%,0.0%,1.06%,58.26%,45.46%,$-0.11
rudy gobert,C/UTIL,MIN,27.94%,0.0%,1.04%,7.25%,12.47%,$-0.12
zaccharie risacher,PF/SF/F/UTIL,ATL,27.32%,0.01%,1.08%,8.73%,6.42%,$-0.12
mike conley,PG/G/UTIL,MIN,26.72%,0.01%,1.01%,3.15%,3.31%,$-0.14
naz reid,C/PF/F/UTIL,MIN,27.08%,0.0%,1.0%,19.92%,15.95%,$-0.15
kyshawn george,PF/SF/F/UTIL,WAS,27.62%,0.0%,1.0%,16.2%,12.54%,$-0.15
donovan mitchell,PG/SG/G/UTIL,CLE,26.95%,0.0%,1.02%,23.32%,21.42%,$-0.15
santi aldama,PF/F/UTIL,MEM,25.9%,0.01%,1.0%,7.65%,9.04%,$-0.16
