PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Jalen Brunson (37338088),Paul George (37338105),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Victor Wembanyama (37338018),Stephon Castle (37338477),Jeremiah Robinson-Earl (37338708),Keaton Wallace (37338930),318.85124999999994,351.36184248461853,50000,100.00%,10000,101836.0%,4752,171.72,$4073.44,NYK 2,ATL 2,opp,1,Jp1710,998,4610885227
Keaton Wallace (37338930),Vit Krejci (37338481),Josh Hart (37338127),Jeremiah Robinson-Earl (37338708),Victor Wembanyama (37338018),Jalen Brunson (37338088),Paul George (37338105),Daniel Gafford (37338424),317.72125,351.57607423083806,49700,100.00%,10000,68490.62%,1630,168.35000000000002,$2739.62,ATL 2,NYK 2,opp,1,guilbeau30,1028,4610654742
Jamal Murray (37338169),Mikal Bridges (37338239),Josh Hart (37338127),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Anthony Edwards (37338044),Paul George (37338105),Keaton Wallace (37338930),317.19624999999996,347.15029522508985,49900,100.00%,10000,65716.38%,2054,113.46000000000001,$2628.66,NYK 2,DEN 1,opp,1,abreza,5,4611315269
Jalen Brunson (37338088),Quentin Grimes (37338318),Josh Hart (37338127),David Roddy (37338933),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Mikal Bridges (37338239),Nikola Jokic (37338012),316.381875,349.4629754259658,49900,100.00%,10000,53261.75%,1322,131.51,$2130.47,NYK 3,ATL 2,opp,1,jimjengles6,19,4611348181
Jalen Brunson (37338088),Paul George (37338105),Mikal Bridges (37338239),Jeremiah Robinson-Earl (37338708),Julius Randle (37338149),Keaton Wallace (37338930),Amen Thompson (37338122),Mark Williams (37338232),314.10875,344.6011063093363,49700,100.00%,9999,26875.31%,131,122.99,$1075.01,NYK 2,PHI 1,opp,1,cheddabisque,2,4610880301
Jalen Brunson (37338088),Paul George (37338105),Bogdan Bogdanovic (37338369),OG Anunoby (37338270),Daniel Gafford (37338424),Keaton Wallace (37338930),David Roddy (37338933),Nikola Jokic (37338012),313.49375,348.7089101407788,49300,100.00%,10000,22539.38%,53,172.75,$901.58,ATL 3,NYK 2,opp,1,mikewein,30,4611323668
Jalen Brunson (37338088),Buddy Hield (37338351),Bogdan Bogdanovic (37338369),Josh Hart (37338127),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Brice Sensabaugh (37338383),Nikola Jokic (37338012),312.78375000000005,347.1039279305086,49900,100.00%,10000,19944.5%,17,158.45,$797.78,NYK 2,ATL 2,opp,1,kevinroach,453,4611346346
Jalen Brunson (37338088),Trey Murphy III (37338144),Mikal Bridges (37338239),Jonathan Isaac (37338510),Alperen Sengun (37338065),Stephon Castle (37338477),Paul George (37338105),Garrison Mathews (37338609),311.55875000000003,342.8212817800002,49800,100.00%,9990,17211.46%,37,119.33999999999999,$688.46,NYK 2,NOP 1,opp,1,jb101086,3,4611301903
Jalen Brunson (37338088),Quentin Grimes (37338318),Paul George (37338105),Jeremiah Robinson-Earl (37338708),Victor Wembanyama (37338018),Stephon Castle (37338477),Devin Vassell (37338234),Daniel Gafford (37338424),311.44062499999995,346.5741431996402,50000,100.00%,10000,15944.0%,3,154.38,$637.76,SAS 3,DAL 2,opp,1,Billcun,159,4611121742
Jalen Brunson (37338088),Stephon Castle (37338477),Josh Hart (37338127),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),310.82375,345.34403263473183,49000,100.00%,9994,13904.69%,0,196.54000000000002,$556.19,NYK 2,ATL 2,opp,1,oxenduck,250,4610588013
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Josh Hart (37338127),OG Anunoby (37338270),Daniel Gafford (37338424),Fred VanVleet (37338153),Mikal Bridges (37338239),Victor Wembanyama (37338018),309.221875,340.0870109544033,49700,100.00%,9861,11135.42%,0,149.70999999999998,$445.42,NYK 3,ATL 2,opp,1,Cnellisafb,81,4611359641
Jalen Brunson (37338088),Paul George (37338105),Josh Hart (37338127),Jaren Jackson Jr. (37338053),Mark Williams (37338232),Bogdan Bogdanovic (37338369),Jeremiah Robinson-Earl (37338708),Keaton Wallace (37338930),308.58124999999995,340.8700967384782,49900,100.00%,9837,9872.14%,0,150.03,$394.89,NYK 2,ATL 2,opp,1,JBCJBCJBC,1002,4611015515
Jalen Brunson (37338088),Cole Anthony (37338216),Paul George (37338105),Julius Randle (37338149),Mark Williams (37338232),Amen Thompson (37338122),David Roddy (37338933),Keaton Wallace (37338930),308.100625,340.7781478725259,49900,100.00%,9526,9119.06%,0,116.67,$364.76,ATL 2,NYK 1,opp,1,rsbathla,134,4610883030
Jalen Brunson (37338088),Garrison Mathews (37338609),Paul George (37338105),Brice Sensabaugh (37338383),Onyeka Okongwu (37338359),Stephon Castle (37338477),Bogdan Bogdanovic (37338369),Nikola Jokic (37338012),308.120625,343.97234603378655,50000,100.00%,9745,9117.53%,1,174.9,$364.7,ATL 3,NYK 1,opp,1,tomjk321,144,4611006885
Jalen Brunson (37338088),Garrison Mathews (37338609),Paul George (37338105),Jayson Tatum (37338023),Onyeka Okongwu (37338359),Stephon Castle (37338477),Devin Vassell (37338234),Daniel Gafford (37338424),307.0664279513889,341.29738711696825,49100,100.00%,9123,7435.66%,0,154.88,$297.43,ATL 2,SAS 2,opp,1,Firedog50,100,4610657415
Stephen Curry (37338062),Stephon Castle (37338477),Paul George (37338105),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Keaton Wallace (37338930),Tristan da Silva (37338374),Nikola Jokic (37338012),306.98749999999995,342.98273177476665,49700,100.00%,8960,7249.29%,0,156.2,$289.97,GSW 1,SAS 1,opp,1,beaker913,972,4611131591
Jalen Brunson (37338088),Bogdan Bogdanovic (37338369),Paul George (37338105),Guerschon Yabusele (37338278),Daniel Gafford (37338424),Trey Murphy III (37338144),Josh Hart (37338127),Vit Krejci (37338481),306.734375,336.4770742653237,50000,100.00%,8897,6789.06%,0,141.48000000000002,$271.56,NYK 2,ATL 2,opp,1,Rumblephish,353,4611311575
Jalen Brunson (37338088),Stephon Castle (37338477),Paul George (37338105),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),Keyonte George (37338282),Trey Murphy III (37338144),Josh Giddey (37338141),306.60062500000004,338.4014237491581,49900,100.00%,8616,6593.59%,0,131.51999999999998,$263.74,UTA 2,NYK 1,opp,1,rsbathla,130,4610882970
Jalen Brunson (37338088),Trey Murphy III (37338144),Josh Hart (37338127),Jeremiah Robinson-Earl (37338708),Daniel Gafford (37338424),Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Victor Wembanyama (37338018),306.44375,340.7573568226843,49600,100.00%,8939,6310.8%,0,170.66,$252.43,NYK 2,NOP 2,opp,1,cheddabisque,320,4610880238
Jalen Brunson (37338088),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Julius Randle (37338149),Wendell Carter Jr. (37338391),Jalen Green (37338162),Devin Vassell (37338234),Mark Williams (37338232),306.15125,337.5763797972872,50000,100.00%,8092,6103.59%,0,141.73000000000002,$244.14,NYK 2,ATL 1,user,1,marvalshot,496,4611344384
Ja Morant (37338082),Vit Krejci (37338481),Josh Hart (37338127),Brice Sensabaugh (37338383),Wendell Carter Jr. (37338391),Anthony Edwards (37338044),Paul George (37338105),Keaton Wallace (37338930),306.118125,336.94795362644004,49500,100.00%,8173,5992.94%,0,132.07999999999998,$239.72,ATL 2,MEM 1,opp,1,MStringer,203,4611252431
Vit Krejci (37338481),Stephon Castle (37338477),Paul George (37338105),Jonathan Isaac (37338510),Victor Wembanyama (37338018),Dejounte Murray (37338096),Julius Randle (37338149),Keaton Wallace (37338930),305.8975,339.7884428980542,49800,100.00%,7925,5745.84%,0,147.35,$229.83,ATL 2,SAS 2,opp,1,tomjk321,937,4611006857
