PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Donovan Mitchell (37654762),Bilal Coulibaly (37654868),Kyshawn George (37655072),Bobby Portis (37654864),Richaun Holmes (37655113),Malik Beasley (37654895),Scottie Barnes (37654750),Damian Lillard (37654759),314.43253906250004,410.5294221222198,49800,100.00%,9057,252.66%,0,183.06,$7.58,WAS 3,MIL 2,user13,1,marvalshot,11771,4634463858_13
Damian Lillard (37654759),Isaiah Joe (37655008),Scottie Barnes (37654750),Bobby Portis (37654864),Tristan Vukcevic (37655242),Trae Young (37654747),Dominick Barlow (37655282),Jarrett Allen (37654823),305.400859375,408.6172812367768,49600,100.00%,0,107.81%,0,141.64999999999998,$3.23,MIL 2,ATL 2,user16,1,marvalshot,11813,4634463859_16
Damian Lillard (37654759),Bilal Coulibaly (37654868),Kyle Kuzma (37654842),Bobby Portis (37654864),Onyeka Okongwu (37654833),Max Strus (37654961),Chris Boucher (37655147),Joel Embiid (37654742),317.53042968750003,417.7148234016586,50000,100.00%,35444,509.82%,0,164.63,$15.29,MIL 3,WAS 1,user16,1,marvalshot,11852,4634463860_16
Damian Lillard (37654759),Bilal Coulibaly (37654868),Scottie Barnes (37654750),Kyle Kuzma (37654842),Bobby Portis (37654864),Malik Beasley (37654895),Chris Boucher (37655147),Jalen Duren (37654835),323.18570312500003,425.4695858653269,49700,100.00%,49993,5737.38%,18,168.51999999999998,$172.12,MIL 3,TOR 2,user21,1,marvalshot,11888,4634463861_21
Donovan Mitchell (37654762),Bilal Coulibaly (37654868),Kyshawn George (37655072),Kyle Kuzma (37654842),Jarrett Allen (37654823),Malik Beasley (37654895),Bobby Portis (37654864),Damian Lillard (37654759),314.184296875,408.7137105766344,49700,100.00%,7531,236.57%,0,180.54,$7.1,MIL 3,CLE 2,user15,1,marvalshot,11921,4634463862_15
Jordan Poole (37654812),Carlton Carrington (37655159),Aaron Wiggins (37654921),Jeremy Sochan (37654944),Jarrett Allen (37654823),Damian Lillard (37654759),Bobby Portis (37654864),Trae Young (37654747),303.2028125,398.8212438732914,49900,99.99%,0,91.66%,0,194.35,$2.75,WAS 2,MIL 2,user7,1,marvalshot,11952,4634463863_7
Damian Lillard (37654759),Carlton Carrington (37655159),Jaylon Tyson (37655340),Bobby Portis (37654864),Jarrett Allen (37654823),Shai Gilgeous-Alexander (37654733),Kyle Kuzma (37654842),Jalen Duren (37654835),305.9665234375,409.36025200471204,50000,100.00%,1,112.55%,0,177.97,$3.38,MIL 3,CLE 2,user9,1,marvalshot,11993,4634463864_9
Damian Lillard (37654759),Malik Beasley (37654895),Max Strus (37654961),Chris Boucher (37655147),Tristan Vukcevic (37655242),Trae Young (37654747),Bobby Portis (37654864),Joel Embiid (37654742),306.7262109375,409.1540892949152,49800,100.00%,6,120.57%,0,170.26999999999998,$3.62,MIL 2,DET 1,user22,1,marvalshot,12045,4634463865_22
Damian Lillard (37654759),Carlton Carrington (37655159),Kyle Kuzma (37654842),Kyshawn George (37655072),Tristan Vukcevic (37655242),Trae Young (37654747),Miles Bridges (37654755),Bobby Portis (37654864),293.55610243055554,388.80675883625673,49000,43.98%,0,-40.97%,0,194.94,$-1.23,MIL 3,WAS 3,user,1,marvalshot,9094,4634463866
Jordan Poole (37654812),Corey Kispert (37655022),Kyshawn George (37655072),Nikola Jovic (37654889),Onyeka Okongwu (37654833),Trae Young (37654747),Bobby Portis (37654864),Damian Lillard (37654759),308.819453125,403.59374244193236,50000,100.00%,61,146.54%,0,199.37,$4.4,WAS 3,ATL 2,user17,1,marvalshot,12070,4634463867_17
