Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Tyler Smith,PF/F/UTIL,MIL,22.79,11.2,100.67%,37.9%,0.71%,0.01%,$49.77,48
Cade Cunningham,PG/G/UTIL,DET,57.2,18.31,31.65%,5.3%,16.75%,17.74%,$5.21,48
Ryan Rollins,PG/G/UTIL,MIL,33.79,10.9,62.49%,3.99%,25.95%,38.84%,$5.12,48
Pascal Siakam,PF/F/UTIL,IND,43.14,13.59,34.29%,3.75%,9.42%,7.28%,$3.34,48
Precious Achiuwa,C/PF/F/UTIL,NYK,32.86,8.52,34.21%,3.15%,15.95%,12.6%,$2.80,48
Mark Williams,C/UTIL,CHA,48.24,18.16,36.36%,3.42%,11.75%,17.42%,$2.23,48
AJ Green,PG/SG/G/UTIL,MIL,26.48,7.57,31.05%,2.49%,24.52%,26.2%,$1.66,48
Keon Ellis,SG/G/UTIL,SAC,27.36,6.38,33.2%,2.12%,24.64%,34.76%,$1.40,48
Aaron Wiggins,PF/SF/F/UTIL,OKC,33.08,8.91,29.53%,2.0%,21.41%,14.33%,$1.08,48
Chris Livingston,SF/F/UTIL,MIL,19.19,9.13,55.87%,0.02%,0.03%,0.01%,$0.94,48
Isaiah Hartenstein,C/UTIL,OKC,42.52,14.4,26.96%,1.86%,4.52%,6.57%,$0.86,48
Jonas Valanciunas,C/UTIL,WAS,36.29,15.32,27.32%,2.16%,16.72%,22.25%,$0.82,48
Nikola Jokic,C/UTIL,DEN,65.64,23.21,32.38%,1.48%,24.6%,24.76%,$0.82,48
Amen Thompson,PG/SF/G/F/UTIL,HOU,46.25,10.17,28.85%,1.89%,19.27%,8.78%,$0.64,48
Delon Wright,PG/G/UTIL,MIL,23.66,9.07,26.72%,1.06%,6.74%,10.01%,$0.39,48
Michael Porter Jr.,PF/SF/F/UTIL,DEN,35.37,8.95,29.47%,1.29%,24.66%,15.92%,$-0.02,48
Gary Trent Jr.,SF/SG/G/F/UTIL,MIL,27.26,8.9,24.92%,1.31%,13.03%,7.51%,$-0.09,48
Anthony Edwards,PG/SG/G/UTIL,MIN,52.71,14.37,28.86%,1.04%,24.79%,14.46%,$-0.29,48
Naz Reid,C/PF/F/UTIL,MIN,35.95,10.7,26.39%,1.07%,25.82%,21.44%,$-0.48,48
