PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Keaton Wallace (37338930),Bogdan Bogdanovic (37338369),Paul George (37338105),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Stephon Castle (37338477),Scottie Barnes (37338057),Nikola Jokic (37338012),306.513671875,342.9803937475234,49800,100.00%,9085,1147.86%,3,188.19,$91.83,ATL 2,PHI 1,user1,1,marvalshot,4405,4611344379_1
Stephon Castle (37338477),Anthony Edwards (37338044),Josh Hart (37338127),Jaren Jackson Jr. (37338053),Daniel Gafford (37338424),Quentin Grimes (37338318),Julius Randle (37338149),Keaton Wallace (37338930),299.68062499999996,333.05505866735206,49500,100.00%,702,224.62%,0,130.95,$17.97,MIN 2,DAL 2,user4,1,marvalshot,4416,4611344380_4
Keaton Wallace (37338930),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Giannis Antetokounmpo (37338014),Rudy Gobert (37338268),Stephen Curry (37338062),Devin Vassell (37338234),Daniel Gafford (37338424),302.778125,338.5245568808335,50000,100.00%,4142,441.69%,0,144.31,$35.34,ATL 2,NYK 1,user,1,marvalshot,2481,4611344381
Keaton Wallace (37338930),Stephon Castle (37338477),Jayson Tatum (37338023),PJ Washington (37338176),Kevon Looney (37338597),Dejounte Murray (37338096),Quentin Grimes (37338318),Alperen Sengun (37338065),290.2858029513889,324.33568788968364,49700,97.48%,0,65.54%,0,104.55000000000001,$5.24,DAL 2,ATL 1,user3,1,marvalshot,4423,4611344382_3
Jalen Brunson (37338088),Jamal Murray (37338169),Javonte Green (37338605),Giannis Antetokounmpo (37338014),Onyeka Okongwu (37338359),Keaton Wallace (37338930),Julius Randle (37338149),Daniel Gafford (37338424),296.393125,334.4600908702303,49800,99.99%,21,139.03%,0,125.63,$11.12,ATL 2,NYK 1,user4,1,marvalshot,4428,4611344383_4
Jalen Brunson (37338088),Mikal Bridges (37338239),Bogdan Bogdanovic (37338369),Jaren Jackson Jr. (37338053),Wendell Carter Jr. (37338391),Anthony Edwards (37338044),Naji Marshall (37338314),Keaton Wallace (37338930),302.96125,334.5091561551848,49800,100.00%,4389,437.29%,0,131.01999999999998,$34.98,NYK 2,ATL 2,user,1,marvalshot,494,4611344384
Keaton Wallace (37338930),Buddy Hield (37338351),Paul George (37338105),David Roddy (37338933),Alperen Sengun (37338065),Ja Morant (37338082),Scottie Barnes (37338057),Daniel Gafford (37338424),300.923671875,336.1147134072988,49600,100.00%,1720,283.09%,0,107.38,$22.65,ATL 2,GSW 1,user2,1,marvalshot,4409,4611344379_2
Keaton Wallace (37338930),Isaiah Collier (37338329),Josh Hart (37338127),Jaren Jackson Jr. (37338053),Victor Wembanyama (37338018),Buddy Hield (37338351),Brice Sensabaugh (37338383),Daniel Gafford (37338424),298.730625,333.5511078027482,49600,100.00%,346,193.14%,0,120.85000000000001,$15.45,UTA 2,ATL 1,user1,1,marvalshot,4413,4611344380_1
Stephen Curry (37338062),Mikal Bridges (37338239),Amen Thompson (37338122),Brice Sensabaugh (37338383),Daniel Gafford (37338424),Anthony Edwards (37338044),Devin Vassell (37338234),Keaton Wallace (37338930),302.29812499999997,333.87083144419114,49700,100.00%,3539,399.66%,1,120.58999999999999,$31.97,GSW 1,NYK 1,user3,1,marvalshot,4419,4611344381_3
Keaton Wallace (37338930),Quentin Grimes (37338318),Jayson Tatum (37338023),Kyle Filipowski (37338420),Alperen Sengun (37338065),Spencer Dinwiddie (37338199),Amen Thompson (37338122),Daniel Gafford (37338424),289.3758029513889,323.6156125932533,49900,94.27%,0,54.54%,0,106.82,$4.36,DAL 3,HOU 2,user,1,marvalshot,4280,4611344382
