Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4631198257,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),AJ Green (37514934),DeMar DeRozan (37514547),Naz Reid (37514564),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Gary Trent Jr. (37514781),Shai Gilgeous-Alexander (37514402)
4631198258,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Anthony Edwards (37514420),Gary Trent Jr. (37514781),Aaron Wiggins (37514609),Jonas Valanciunas (37514579),AJ Green (37514934),Zion Williamson (37514438),Ryan Rollins (37515010)
4631198259,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),AJ Green (37514934),Cam Whitmore (37514855),Aaron Gordon (37514723),Isaiah Hartenstein (37514486),Ryan Rollins (37515010),Aaron Wiggins (37514609),Nikola Jokic (37514396)
4631198260,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),Gary Trent Jr. (37514781),Josh Hart (37514475),Pascal Siakam (37514472),Mark Williams (37514441),Delon Wright (37515257),Zion Williamson (37514438),Isaiah Hartenstein (37514486)
4631198261,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),AJ Green (37514934),Isaiah Joe (37514786),Aaron Wiggins (37514609),Mark Williams (37514441),Ryan Rollins (37515010),Aaron Gordon (37514723),Victor Wembanyama (37514405)
4631198262,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Keon Ellis (37514889),De'Andre Hunter (37514572),Michael Porter Jr. (37514568),Jonas Valanciunas (37514579),Shai Gilgeous-Alexander (37514402),Gary Trent Jr. (37514781),Ryan Rollins (37515010)
4631198263,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Trae Young (37514415),AJ Green (37514934),Isaiah Joe (37514786),Santi Aldama (37514673),Mark Williams (37514441),Ryan Rollins (37515010),Michael Porter Jr. (37514568),Cade Cunningham (37514407)
4631198264,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Shai Gilgeous-Alexander (37514402),Malik Monk (37514495),Cam Whitmore (37514855),Pascal Siakam (37514472),Mark Williams (37514441),AJ Green (37514934),Aaron Wiggins (37514609),Ryan Rollins (37515010)
4631198265,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Jordan Poole (37514515),Keon Ellis (37514889),Aaron Wiggins (37514609),Jeremy Sochan (37514745),Mark Williams (37514441),Shai Gilgeous-Alexander (37514402),Pascal Siakam (37514472),Ryan Rollins (37515010)
4631198266,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Keon Ellis (37514889),Amen Thompson (37514443),Miles Bridges (37514424),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Aaron Gordon (37514723),Aaron Wiggins (37514609)
