Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL
4631198257,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Julian Strawther (37514915),Nick Smith Jr. (37514676),Precious Achiuwa (37514646),Isaiah Hartenstein (37514486),Ryan Rollins (37515010),Aaron Gordon (37514723),Shai Gilgeous-Alexander (37514402)
4631198258,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Isaiah Collier (37514640),Aaron Wiggins (37514609),Michael Porter Jr. (37514568),Precious Achiuwa (37514646),Ryan Rollins (37515010),Gary Trent Jr. (37514781),Shai Gilgeous-Alexander (37514402)
4631198259,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),Anthony Edwards (37514420),De'Andre Hunter (37514572),Jeremy Sochan (37514745),Mark Williams (37514441),AJ Green (37514934),Pat Connaughton (37514974),Nikola Jokic (37514396)
4631198260,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),AJ Green (37514934),Ausar Thompson (37514714),Aaron Wiggins (37514609),Victor Wembanyama (37514405),Mike Conley (37514720),Michael Porter Jr. (37514568),Nikola Jokic (37514396)
4631198261,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Shai Gilgeous-Alexander (37514402),Gary Trent Jr. (37514781),Taurean Prince (37514752),Keegan Murray (37514707),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Aaron Gordon (37514723),Nikola Jokic (37514396)
4631198262,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Chris Paul (37514589),Anthony Edwards (37514420),Andre Jackson Jr. (37514872),Ausar Thompson (37514714),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Aaron Wiggins (37514609),Nikola Jokic (37514396)
4631198263,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),Jamal Murray (37514488),Pat Connaughton (37514974),Santi Aldama (37514673),Isaiah Hartenstein (37514486),Shai Gilgeous-Alexander (37514402),Zion Williamson (37514438),Aaron Gordon (37514723)
4631198264,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Cade Cunningham (37514407),Christian Braun (37514621),Ausar Thompson (37514714),Naz Reid (37514564),Isaiah Hartenstein (37514486),Ryan Rollins (37515010),Zion Williamson (37514438),Jose Alvarado (37514686)
4631198265,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,Ryan Rollins (37515010),Keon Ellis (37514889),Cam Whitmore (37514855),Precious Achiuwa (37514646),Isaiah Hartenstein (37514486),Jamal Murray (37514488),Amen Thompson (37514443),Victor Wembanyama (37514405)
4631198266,NBA $30K Sharpshooter [$5K to 1st],173720036,$3,AJ Green (37514934),Isaiah Joe (37514786),Christian Braun (37514621),Naz Reid (37514564),Mark Williams (37514441),Ryan Rollins (37515010),Zion Williamson (37514438),Victor Wembanyama (37514405)
