Set Analysis

Set 1
Player,Count,Exposure
Ryan Rollins,10,100.00%
Cade Cunningham,7,70.00%
AJ Green,6,60.00%
Aaron Wiggins,6,60.00%
Mark Williams,5,50.00%
Jonas Valanciunas,4,40.00%
Gary Trent Jr.,4,40.00%
Shai Gilgeous-Alexander,4,40.00%
Aaron Gordon,3,30.00%
Pascal Siakam,3,30.00%
Keon Ellis,3,30.00%
Zion Williamson,2,20.00%
Cam Whitmore,2,20.00%
Isaiah Hartenstein,2,20.00%
Isaiah Joe,2,20.00%
Michael Porter Jr.,2,20.00%
DeMar DeRozan,1,10.00%
Naz Reid,1,10.00%
Anthony Edwards,1,10.00%
Nikola Jokic,1,10.00%
Josh Hart,1,10.00%
Delon Wright,1,10.00%
Victor Wembanyama,1,10.00%
De'Andre Hunter,1,10.00%
Trae Young,1,10.00%
Santi Aldama,1,10.00%
Malik Monk,1,10.00%
Jordan Poole,1,10.00%
Jeremy Sochan,1,10.00%
Amen Thompson,1,10.00%
Miles Bridges,1,10.00%
Total Entries:,10


Set 2
Player,Count,Exposure
Ryan Rollins,10,100.00%
AJ Green,6,60.00%
Mark Williams,5,50.00%
Jonas Valanciunas,5,50.00%
Shai Gilgeous-Alexander,4,40.00%
Michael Porter Jr.,4,40.00%
Tari Eason,4,40.00%
Anthony Edwards,3,30.00%
Keon Ellis,3,30.00%
Aaron Wiggins,3,30.00%
Pascal Siakam,3,30.00%
Ausar Thompson,3,30.00%
Cam Whitmore,2,20.00%
DeMar DeRozan,2,20.00%
Nikola Jokic,2,20.00%
Christian Braun,2,20.00%
Domantas Sabonis,2,20.00%
Cade Cunningham,2,20.00%
Trae Young,2,20.00%
Zion Williamson,2,20.00%
Isaiah Hartenstein,2,20.00%
Aaron Gordon,1,10.00%
Andre Jackson Jr.,1,10.00%
Zaccharie Risacher,1,10.00%
Jaren Jackson Jr.,1,10.00%
Nick Smith Jr.,1,10.00%
Precious Achiuwa,1,10.00%
Malik Monk,1,10.00%
Keegan Murray,1,10.00%
Gary Trent Jr.,1,10.00%
Total Entries:,10


Set 3
Player,Count,Exposure
Ryan Rollins,10,100.00%
Nikola Jokic,7,70.00%
AJ Green,6,60.00%
Cade Cunningham,5,50.00%
Aaron Wiggins,4,40.00%
Keon Ellis,4,40.00%
Tari Eason,3,30.00%
Andre Jackson Jr.,3,30.00%
Jae'Sean Tate,3,30.00%
Mark Williams,3,30.00%
Jonas Valanciunas,2,20.00%
Aaron Gordon,2,20.00%
Anthony Edwards,2,20.00%
Domantas Sabonis,2,20.00%
Cam Whitmore,2,20.00%
Victor Wembanyama,2,20.00%
Naz Reid,2,20.00%
Gary Trent Jr.,1,10.00%
Keldon Johnson,1,10.00%
