PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Cade Cunningham (37514407),AJ Green (37514934),DeMar DeRozan (37514547),Naz Reid (37514564),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Gary Trent Jr. (37514781),Shai Gilgeous-Alexander (37514402),309.81,295.97,412.02000000000004,50000,0.25%,8.53%,762.1%,56.73%,159.92000000000002,$22.9,MIL 3,DET 1,generated,1
Cade Cunningham (37514407),Anthony Edwards (37514420),Gary Trent Jr. (37514781),Aaron Wiggins (37514609),Jonas Valanciunas (37514579),AJ Green (37514934),Zion Williamson (37514438),Ryan Rollins (37515010),308.52,290.62,410.60999999999996,50000,0.23%,8.1%,737.0%,55.15%,148.07,$22.1,MIL 3,DET 1,generated,1
Cade Cunningham (37514407),AJ Green (37514934),Cam Whitmore (37514855),Aaron Gordon (37514723),Isaiah Hartenstein (37514486),Ryan Rollins (37515010),Aaron Wiggins (37514609),Nikola Jokic (37514396),309.83,296.69,411.86,50000,0.2%,7.85%,645.1%,57.64%,164.15,$19.4,MIL 2,DEN 2,generated,1
Ryan Rollins (37515010),Gary Trent Jr. (37514781),Josh Hart (37514475),Pascal Siakam (37514472),Mark Williams (37514441),Delon Wright (37515257),Zion Williamson (37514438),Isaiah Hartenstein (37514486),300.83000000000004,280.12,402.90999999999997,49900,0.22%,6.41%,636.1%,46.29%,99.56,$19.1,MIL 3,NYK 1,generated,1
Cade Cunningham (37514407),AJ Green (37514934),Isaiah Joe (37514786),Aaron Wiggins (37514609),Mark Williams (37514441),Ryan Rollins (37515010),Aaron Gordon (37514723),Victor Wembanyama (37514405),308.68,300.48999999999995,407.29999999999995,49900,0.17%,7.81%,615.8%,55.75%,169.57,$18.5,MIL 2,OKC 2,generated,1
Cade Cunningham (37514407),Keon Ellis (37514889),De'Andre Hunter (37514572),Michael Porter Jr. (37514568),Jonas Valanciunas (37514579),Shai Gilgeous-Alexander (37514402),Gary Trent Jr. (37514781),Ryan Rollins (37515010),306.6,292.91999999999996,407.08,49600,0.16%,7.21%,555.5%,53.0%,158.05,$16.7,MIL 2,DET 1,generated,1
Trae Young (37514415),AJ Green (37514934),Isaiah Joe (37514786),Santi Aldama (37514673),Mark Williams (37514441),Ryan Rollins (37515010),Michael Porter Jr. (37514568),Cade Cunningham (37514407),305.3,291.47,403.57,49800,0.17%,6.66%,543.7%,51.34%,144.02,$16.3,MIL 2,ATL 1,generated,1
Shai Gilgeous-Alexander (37514402),Malik Monk (37514495),Cam Whitmore (37514855),Pascal Siakam (37514472),Mark Williams (37514441),AJ Green (37514934),Aaron Wiggins (37514609),Ryan Rollins (37515010),306.7,293.16999999999996,408.24999999999994,49700,0.15%,7.09%,521.1%,53.26%,149.16000000000003,$15.6,OKC 2,MIL 2,generated,1
Jordan Poole (37514515),Keon Ellis (37514889),Aaron Wiggins (37514609),Jeremy Sochan (37514745),Mark Williams (37514441),Shai Gilgeous-Alexander (37514402),Pascal Siakam (37514472),Ryan Rollins (37515010),303.46000000000004,293.86,403.03000000000003,50000,0.15%,6.17%,487.5%,49.32%,145.58,$14.6,OKC 2,WAS 1,generated,1
Cade Cunningham (37514407),Keon Ellis (37514889),Amen Thompson (37514443),Miles Bridges (37514424),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Aaron Gordon (37514723),Aaron Wiggins (37514609),306.09000000000003,292.42,399.27,49800,0.14%,6.36%,483.4%,52.4%,163.56,$14.5,DET 1,SAC 1,generated,1
Ryan Rollins (37515010),Anthony Edwards (37514420),Cam Whitmore (37514855),Aaron Gordon (37514723),Mark Williams (37514441),AJ Green (37514934),DeMar DeRozan (37514547),Shai Gilgeous-Alexander (37514402),305.85,294.6,406.28,49900,0.13%,6.62%,481.0%,52.2%,158.57,$14.4,MIL 2,MIN 1,generated,1
Shai Gilgeous-Alexander (37514402),AJ Green (37514934),Michael Porter Jr. (37514568),Tari Eason (37514613),Nikola Jokic (37514396),Keon Ellis (37514889),Aaron Wiggins (37514609),Ryan Rollins (37515010),309.96000000000004,300.53999999999996,408.61999999999995,49800,0.12%,7.33%,476.3%,57.69%,182.56,$14.3,OKC 2,MIL 2,generated,1
Anthony Edwards (37514420),Andre Jackson Jr. (37514872),Christian Braun (37514621),Aaron Wiggins (37514609),Jonas Valanciunas (37514579),Ryan Rollins (37515010),Pascal Siakam (37514472),Domantas Sabonis (37514413),307.18,288.64,399.90999999999997,49900,0.13%,6.28%,469.8%,53.69%,129.76000000000002,$14.1,MIL 2,MIN 1,generated,1
