Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jaden hardy,PG/G/UTIL,DAL,29.3%,0.01%,1.42%,15.8%,23.74%,$0.37
nikola vucevic,C/UTIL,CHI,29.96%,0.01%,1.45%,19.31%,25.2%,$0.36
olivier-maxence prosper,PF/F/UTIL,DAL,28.64%,0.01%,1.4%,16.96%,24.13%,$0.32
quentin grimes,SF/SG/G/F/UTIL,DAL,28.62%,0.01%,1.22%,53.2%,47.96%,$-0.03
ivica zubac,C/UTIL,LAC,26.41%,0.01%,1.21%,9.66%,12.06%,$-0.03
naji marshall,PF/SF/F/UTIL,DAL,28.03%,0.01%,1.2%,36.09%,34.97%,$-0.08
kevin porter jr.,PG/G/UTIL,LAC,26.32%,0.01%,1.18%,11.01%,16.33%,$-0.1
cade cunningham,PG/G/UTIL,DET,27.93%,0.01%,1.19%,26.76%,30.15%,$-0.13
darius garland,PG/G/UTIL,CLE,24.95%,0.01%,1.14%,6.35%,7.06%,$-0.13
josh giddey,PG/G/UTIL,CHI,26.29%,0.01%,1.15%,12.32%,13.88%,$-0.17
tyrese maxey,PG/G/UTIL,PHI,26.11%,0.01%,1.16%,10.99%,11.53%,$-0.17
kawhi leonard,PF/SF/F/UTIL,LAC,24.91%,0.01%,1.13%,10.56%,7.8%,$-0.2
coby white,PG/SG/G/UTIL,CHI,26.77%,0.01%,1.12%,17.1%,13.86%,$-0.22
brandon clarke,C/UTIL,MEM,25.82%,0.01%,1.09%,7.9%,13.94%,$-0.24
jalen duren,C/UTIL,DET,25.4%,0.01%,1.11%,11.76%,15.13%,$-0.25
giannis antetokounmpo,C/PF/F/UTIL,MIL,28.44%,0.01%,1.06%,46.66%,36.84%,$-0.29
spencer dinwiddie,PG/SG/G/UTIL,DAL,27.16%,0.01%,1.09%,30.69%,29.58%,$-0.3
patrick williams,PF/F/UTIL,CHI,25.64%,0.01%,1.07%,10.91%,14.87%,$-0.34
klay thompson,SF/SG/G/F/UTIL,DAL,26.01%,0.01%,1.06%,18.03%,12.48%,$-0.35
kelly oubre jr.,SG/G/UTIL,PHI,26.46%,0.01%,1.04%,7.64%,8.58%,$-0.37
donovan mitchell,PG/SG/G/UTIL,CLE,23.49%,0.01%,1.04%,7.76%,6.02%,$-0.38
kristaps porzingis,C/UTIL,BOS,23.58%,0.01%,1.02%,5.49%,6.82%,$-0.38
jarrett allen,C/UTIL,CLE,24.81%,0.01%,1.04%,7.83%,10.15%,$-0.38
damian lillard,PG/G/UTIL,MIL,25.63%,0.01%,1.05%,16.42%,18.18%,$-0.4
santi aldama,PF/F/UTIL,MEM,25.24%,0.01%,1.03%,21.19%,29.06%,$-0.42
desmond bane,SG/G/UTIL,MEM,25.33%,0.01%,1.02%,18.14%,22.03%,$-0.46
matas buzelis,PF/SF/F/UTIL,CHI,25.42%,0.01%,1.01%,26.68%,24.71%,$-0.48
jaylen brown,SF/SG/G/F/UTIL,BOS,24.61%,0.01%,0.97%,14.58%,9.6%,$-0.53
derrick jones jr.,PF/F/UTIL,LAC,24.99%,0.01%,0.95%,8.68%,12.01%,$-0.56
jaren jackson jr.,C/PF/F/UTIL,MEM,23.35%,0.01%,0.94%,16.2%,11.6%,$-0.63
ausar thompson,PF/SF/F/UTIL,DET,23.6%,0.01%,0.9%,13.41%,11.28%,$-0.69
luke kennard,PG/SG/G/UTIL,MEM,24.83%,0.0%,0.89%,23.58%,22.08%,$-0.71
kessler edwards,PF/SF/F/UTIL,DAL,24.01%,0.01%,0.87%,4.5%,3.93%,$-0.72
evan mobley,C/PF/F/UTIL,CLE,23.1%,0.01%,0.88%,14.46%,10.17%,$-0.74
rj barrett,SF/F/UTIL,TOR,22.85%,0.01%,0.85%,9.13%,9.99%,$-0.78
james harden,PG/G/UTIL,LAC,22.39%,0.01%,0.86%,10.1%,10.43%,$-0.78
jakob poeltl,C/UTIL,TOR,22.57%,0.01%,0.82%,6.13%,7.36%,$-0.8
amir coffey,PF/SF/F/UTIL,LAC,24.41%,0.0%,0.85%,25.61%,23.26%,$-0.81
lonzo ball,PG/G/UTIL,CHI,22.88%,0.01%,0.81%,4.41%,5.74%,$-0.81
ayo dosunmu,PG/SG/G/UTIL,CHI,23.68%,0.0%,0.82%,9.9%,8.48%,$-0.83
jayson tatum,PF/SF/F/UTIL,BOS,23.14%,0.0%,0.83%,26.33%,21.28%,$-0.84
kylor kelley,C/UTIL,DAL,22.61%,0.01%,0.78%,3.05%,4.53%,$-0.87
sam merrill,SG/G/UTIL,CLE,23.04%,0.0%,0.79%,3.36%,4.59%,$-0.88
zach edey,C/UTIL,MEM,21.68%,0.01%,0.77%,2.02%,3.6%,$-0.89
khris middleton,SF/SG/G/F/UTIL,MIL,22.26%,0.0%,0.79%,17.46%,11.97%,$-0.91
tobias harris,PF/F/UTIL,DET,22.62%,0.0%,0.75%,6.75%,7.81%,$-0.99
caris levert,PG/SG/G/UTIL,CLE,22.34%,0.0%,0.73%,11.18%,10.54%,$-1.03
isaiah stewart,C/UTIL,DET,21.76%,0.0%,0.72%,5.2%,7.88%,$-1.06
ja'kobe walter,SF/SG/G/F/UTIL,TOR,22.92%,0.0%,0.7%,0.38%,0.2%,$-1.08
jaylen wells,SF/SG/G/F/UTIL,MEM,22.2%,0.0%,0.69%,12.64%,9.15%,$-1.14
derrick white,PG/SG/G/UTIL,BOS,21.77%,0.0%,0.66%,7.75%,6.13%,$-1.16
gradey dick,SG/G/UTIL,TOR,21.71%,0.0%,0.66%,4.64%,6.59%,$-1.17
scottie barnes,PG/SF/G/F/UTIL,TOR,19.98%,0.0%,0.67%,10.65%,6.34%,$-1.18
scotty pippen jr.,PG/G/UTIL,MEM,17.9%,0.01%,0.62%,0.09%,0.12%,$-1.18
jrue holiday,PG/SG/G/UTIL,BOS,21.46%,0.0%,0.64%,5.63%,4.95%,$-1.2
tim hardaway jr.,SF/SG/G/F/UTIL,DET,21.84%,0.0%,0.65%,5.1%,3.81%,$-1.22
payton pritchard,PG/SG/G/UTIL,BOS,20.88%,0.0%,0.63%,3.98%,3.3%,$-1.23
guerschon yabusele,C/PF/F/UTIL,PHI,20.86%,0.0%,0.61%,3.43%,2.39%,$-1.23
malik beasley,SG/G/UTIL,DET,20.4%,0.0%,0.61%,3.89%,4.36%,$-1.27
brook lopez,C/UTIL,MIL,21.05%,0.0%,0.59%,4.55%,6.19%,$-1.29
ronald holland ii,PF/SF/F/UTIL,DET,20.1%,0.0%,0.58%,0.25%,0.15%,$-1.33
aj green,PG/SG/G/UTIL,MIL,20.67%,0.0%,0.58%,3.48%,3.22%,$-1.37
max strus,SF/SG/G/F/UTIL,CLE,19.84%,0.0%,0.52%,3.43%,2.34%,$-1.45
ty jerome,PG/G/UTIL,CLE,19.28%,0.0%,0.5%,0.32%,0.41%,$-1.45
gregory jackson,PF/SF/F/UTIL,MEM,19.05%,0.0%,0.53%,0.11%,0.1%,$-1.45
marcus sasser,PG/SG/G/UTIL,DET,19.98%,0.0%,0.44%,0.13%,0.1%,$-1.51
orlando robinson,C/UTIL,TOR,12.42%,0.0%,0.3%,0.01%,0.01%,$-1.52
kyle lowry,PG/SG/G/UTIL,PHI,20.85%,0.0%,0.46%,0.09%,0.1%,$-1.53
immanuel quickley,PG/G/UTIL,TOR,17.57%,0.0%,0.47%,0.24%,0.29%,$-1.56
ochai agbaji,PF/SF/F/UTIL,TOR,19.23%,0.0%,0.47%,0.19%,0.2%,$-1.59
gary trent jr.,SF/SG/G/F/UTIL,MIL,18.37%,0.0%,0.47%,0.16%,0.1%,$-1.59
eric gordon,SG/G/UTIL,PHI,19.68%,0.0%,0.45%,0.79%,1.23%,$-1.62
julian phillips,PF/F/UTIL,CHI,18.82%,0.0%,0.46%,0.08%,0.1%,$-1.64
simone fontecchio,PF/F/UTIL,DET,15.68%,0.0%,0.46%,0.02%,0.01%,$-1.67
dante exum,SF/SG/G/F/UTIL,DAL,18.0%,0.0%,0.38%,0.21%,0.1%,$-1.72
terance mann,SF/SG/G/F/UTIL,LAC,18.71%,0.0%,0.35%,0.14%,0.1%,$-1.74
sam hauser,PF/SF/F/UTIL,BOS,17.66%,0.0%,0.37%,0.33%,0.27%,$-1.77
nicolas batum,C/PF/F/UTIL,LAC,16.12%,0.0%,0.28%,0.03%,0.01%,$-1.78
taurean prince,PF/SF/F/UTIL,MIL,16.48%,0.0%,0.35%,0.28%,0.21%,$-1.84
justin edwards,PF/SF/F/UTIL,PHI,17.15%,0.0%,0.35%,0.13%,0.1%,$-1.84
al horford,C/PF/F/UTIL,BOS,17.19%,0.0%,0.32%,0.17%,0.1%,$-1.85
andre drummond,C/UTIL,PHI,14.55%,0.0%,0.3%,0.06%,0.1%,$-2.0
caleb martin,PF/SF/F/UTIL,PHI,14.95%,0.0%,0.26%,0.18%,0.1%,$-2.02
garrett temple,SG/G/UTIL,TOR,20.41%,0.0%,0.3%,0.01%,0.01%,$-2.02
ryan rollins,PG/G/UTIL,MIL,21.0%,0.0%,0.22%,0.01%,0.01%,$-2.04
craig porter jr.,PG/G/UTIL,CLE,11.1%,0.0%,0.04%,0.01%,0.03%,$-2.05
luke kornet,C/UTIL,BOS,11.23%,0.0%,0.24%,0.03%,0.1%,$-2.12
bruce brown,SF/SG/G/F/UTIL,TOR,13.01%,0.0%,0.22%,0.13%,0.1%,$-2.13
georges niang,PF/SF/F/UTIL,CLE,13.97%,0.0%,0.19%,0.05%,0.07%,$-2.15
andre jackson jr.,SF/SG/G/F/UTIL,MIL,12.05%,0.0%,0.18%,0.02%,0.01%,$-2.21
ron harper jr.,PF/F/UTIL,DET,8.19%,0.0%,0.07%,0.01%,0.03%,$-2.25
drew peterson,PF/F/UTIL,BOS,8.05%,0.0%,0.09%,0.01%,0.03%,$-2.26
adama sanogo,C/UTIL,CHI,16.45%,0.0%,0.15%,0.01%,0.03%,$-2.27
dalen terry,SF/F/UTIL,CHI,6.52%,0.0%,0.12%,0.01%,0.01%,$-2.27
ulrich chomche,C/UTIL,TOR,11.96%,0.0%,0.05%,0.02%,0.03%,$-2.31
daniss jenkins,PG/G/UTIL,DET,13.34%,0.0%,0.1%,0.04%,0.03%,$-2.32
jared mccain,PG/G/UTIL,PHI,12.99%,0.0%,0.07%,0.03%,0.03%,$-2.32
baylor scheierman,SG/G/UTIL,BOS,12.68%,0.0%,0.07%,0.03%,0.03%,$-2.33
jamison battle,PF/SF/F/UTIL,TOR,12.25%,0.0%,0.07%,0.05%,0.03%,$-2.33
aj johnson,SG/G/UTIL,MIL,12.79%,0.0%,0.09%,0.03%,0.03%,$-2.33
chris livingston,SF/F/UTIL,MIL,7.79%,0.0%,0.03%,0.01%,0.03%,$-2.34
bones hyland,PG/G/UTIL,LAC,7.44%,0.0%,0.05%,0.01%,0.01%,$-2.35
isaac okoro,PF/SF/F/UTIL,CLE,10.15%,0.0%,0.09%,0.02%,0.03%,$-2.39
jt thor,PF/SF/F/UTIL,CLE,10.31%,0.0%,0.08%,0.04%,0.03%,$-2.39
xavier tillman,C/PF/F/UTIL,BOS,9.95%,0.0%,0.07%,0.04%,0.03%,$-2.39
pat connaughton,PF/SF/F/UTIL,MIL,9.53%,0.0%,0.09%,0.02%,0.01%,$-2.4
torrey craig,PF/F/UTIL,CHI,11.31%,0.0%,0.06%,0.03%,0.03%,$-2.41
jaden ivey,PG/G/UTIL,DET,13.68%,0.0%,0.09%,0.01%,0.03%,$-2.41
anton watson,SF/F/UTIL,BOS,10.42%,0.0%,0.04%,0.02%,0.03%,$-2.41
talen horton-tucker,SF/SG/G/F/UTIL,CHI,10.14%,0.0%,0.07%,0.02%,0.03%,$-2.41
jeff dowtin,PG/SG/G/UTIL,PHI,9.68%,0.0%,0.07%,0.06%,0.03%,$-2.42
dwight powell,C/UTIL,DAL,10.15%,0.0%,0.04%,0.02%,0.03%,$-2.42
kj martin,SF/F/UTIL,PHI,11.2%,0.0%,0.09%,0.04%,0.03%,$-2.43
chris duarte,SF/SG/G/F/UTIL,CHI,11.11%,0.0%,0.09%,0.04%,0.03%,$-2.43
tyler smith,PF/F/UTIL,MIL,9.98%,0.0%,0.08%,0.05%,0.03%,$-2.44
tolu smith,C/UTIL,DET,9.63%,0.0%,0.06%,0.02%,0.03%,$-2.45
jamal shead,PG/G/UTIL,TOR,12.11%,0.0%,0.11%,0.01%,0.03%,$-2.45
jonathan mogbo,C/PF/F/UTIL,TOR,7.61%,0.0%,0.09%,0.03%,0.03%,$-2.46
marjon beauchamp,PG/SF/G/F/UTIL,MIL,9.98%,0.0%,0.08%,0.03%,0.01%,$-2.47
aj lawson,PG/G/UTIL,TOR,10.54%,0.0%,0.06%,0.04%,0.03%,$-2.48
emoni bates,PG/SF/G/F/UTIL,CLE,9.08%,0.0%,0.05%,0.06%,0.03%,$-2.48
wendell moore jr.,SF/SG/G/F/UTIL,DET,10.12%,0.0%,0.06%,0.03%,0.03%,$-2.48
ricky council iv,PF/SF/F/UTIL,PHI,10.44%,0.0%,0.15%,0.01%,0.01%,$-2.48
brandon williams,PG/G/UTIL,DAL,8.95%,0.0%,0.06%,0.06%,0.03%,$-2.51
zyon pullin,PG/SG/G/UTIL,MEM,8.77%,0.0%,0.02%,0.02%,0.03%,$-2.51
markieff morris,C/PF/F/UTIL,DAL,8.65%,0.0%,0.06%,0.07%,0.03%,$-2.51
emanuel miller,SF/F/UTIL,CHI,7.43%,0.0%,0.05%,0.03%,0.03%,$-2.52
kobe brown,C/UTIL,LAC,9.61%,0.0%,0.05%,0.04%,0.03%,$-2.52
davion mitchell,PG/SG/G/UTIL,TOR,8.17%,0.0%,0.05%,0.02%,0.04%,$-2.53
john konchar,SF/SG/G/F/UTIL,MEM,7.65%,0.0%,0.06%,0.02%,0.03%,$-2.54
pete nance,C/UTIL,PHI,8.25%,0.0%,0.02%,0.02%,0.03%,$-2.54
jaylon tyson,SF/F/UTIL,CLE,5.22%,0.0%,0.02%,0.01%,0.01%,$-2.55
jaden springer,SF/SG/G/F/UTIL,BOS,8.72%,0.0%,0.04%,0.03%,0.03%,$-2.55
e.j. liddell,C/UTIL,CHI,7.74%,0.0%,0.05%,0.04%,0.03%,$-2.55
kai jones,C/PF/F/UTIL,LAC,8.62%,0.0%,0.06%,0.03%,0.03%,$-2.55
kris dunn,SG/G/UTIL,LAC,10.76%,0.0%,0.04%,0.01%,0.03%,$-2.55
tristan thompson,C/UTIL,CLE,8.6%,0.0%,0.04%,0.03%,0.03%,$-2.56
cam christie,SG/G/UTIL,LAC,7.63%,0.0%,0.04%,0.02%,0.03%,$-2.56
jay huff,C/UTIL,MEM,6.71%,0.0%,0.02%,0.03%,0.03%,$-2.57
trentyn flowers,SG/G/UTIL,LAC,6.39%,0.0%,0.04%,0.03%,0.03%,$-2.57
neemias queta,C/UTIL,BOS,7.55%,0.0%,0.03%,0.02%,0.03%,$-2.57
jordan walsh,SF/F/UTIL,BOS,9.79%,0.0%,0.05%,0.01%,0.03%,$-2.58
liam robbins,C/UTIL,MIL,5.09%,0.0%,0.01%,0.01%,0.03%,$-2.58
stanley umude,SG/G/UTIL,MIL,7.18%,0.0%,0.03%,0.02%,0.03%,$-2.59
marcus smart,SG/G/UTIL,MEM,4.75%,0.0%,0.04%,0.01%,0.04%,$-2.59
delon wright,PG/G/UTIL,MIL,6.14%,0.0%,0.03%,0.03%,0.03%,$-2.6
jd davison,PG/G/UTIL,BOS,8.02%,0.0%,0.04%,0.04%,0.03%,$-2.6
jevon carter,PG/G/UTIL,CHI,6.08%,0.0%,0.02%,0.03%,0.03%,$-2.61
cam spencer,PG/G/UTIL,MEM,7.36%,0.0%,0.03%,0.03%,0.03%,$-2.62
adem bona,C/UTIL,PHI,4.33%,0.0%,0.01%,0.01%,0.03%,$-2.63
maxi kleber,PF/F/UTIL,DAL,6.52%,0.0%,0.04%,0.03%,0.03%,$-2.65
