PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.15,418.09999999999997,50000,100.00%,50000,120396.1%,42253,224.73,$3611.88,DAL 5,DET 1,user,1,marvalshot,2721,4630248018
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),307.18,417.25,50000,100.00%,49990,35527.03%,3341,200.57,$1065.81,DAL 4,CHI 2,user12,2,marvalshot,812,4630248024_12
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Jaden Hardy (37509673),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),307.17999999999995,417.24999999999994,50000,100.00%,49990,35527.03%,3341,200.57,$1065.81,DAL 4,CHI 2,opp,2,kngof9ex,812,4630369895
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Sam Merrill (37509684),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),306.76,413.82,50000,100.00%,49995,30125.51%,1688,195.37,$903.77,DAL 3,CHI 2,user34,1,marvalshot,12009,4630248024_34
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),305.98,411.66,50000,100.00%,49879,21770.79%,717,202.15999999999997,$653.12,DAL 4,CHI 2,user21,1,marvalshot,11859,4630248020_21
Cade Cunningham (37509362),Ayo Dosunmu (37509481),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),305.92,414.45000000000005,49800,100.00%,49912,19861.09%,642,202.84,$595.83,DAL 3,CHI 2,opp,1,neuens7,1500,4630357732
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Darius Garland (37509423),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),304.98,411.99,49900,100.00%,49399,10883.59%,122,179.56,$326.51,DAL 4,CHI 2,user30,1,marvalshot,11868,4630248020_30
Josh Giddey (37509444),Quentin Grimes (37509557),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),304.34,405.35999999999996,50000,100.00%,48499,7629.9%,50,195.35,$228.9,DAL 4,CHI 2,user2,1,marvalshot,11840,4630248020_2
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),AJ Green (37509695),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),304.72,410.78000000000003,50000,100.00%,49636,7451.55%,36,194.43,$223.55,DAL 3,CHI 2,user41,1,marvalshot,12016,4630248024_41
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Ja'Kobe Walter (37509706),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),304.56,411.22,49900,100.00%,49560,6536.02%,28,191.8,$196.08,DAL 3,CHI 2,user47,1,marvalshot,12022,4630248024_47
