PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.15,418.09999999999997,50000,100.00%,50000,120396.1%,42253,224.73,$3611.88,DAL 5,DET 1,user,1,marvalshot,2721,4630248018
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user,50,marvalshot,1093,4630248019
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),305.98,411.66,50000,100.00%,49879,21770.79%,717,202.15999999999997,$653.12,DAL 4,CHI 2,user21,1,marvalshot,11859,4630248020_21
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),297.16999999999996,402.90999999999997,49400,100.00%,3027,170.16%,0,198.69,$5.1,DAL 3,CHI 2,user21,1,marvalshot,11896,4630248021_21
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),300.61,404.45000000000005,49500,100.00%,25485,623.41%,0,201.07,$18.7,DAL 3,LAC 1,user18,1,marvalshot,11942,4630248022_18
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),303.26,407.43,50000,100.00%,44839,3997.96%,81,200.97,$119.94,CHI 3,DAL 3,user1,1,marvalshot,11974,4630248023_1
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),307.18,417.25,50000,100.00%,49990,35527.03%,3341,200.57,$1065.81,DAL 4,CHI 2,user12,2,marvalshot,812,4630248024_12
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),303.0,404.92,50000,100.00%,44054,3951.19%,55,170.64,$118.54,DAL 3,CHI 2,user10,1,marvalshot,12033,4630248025_10
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),302.43,407.39,50000,100.00%,43040,1513.08%,0,202.35,$45.39,DAL 4,DET 1,user23,1,marvalshot,12060,4630248026_23
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.69000000000005,409.68000000000006,49900,100.00%,47566,5459.26%,115,191.92999999999998,$163.78,DAL 3,LAC 2,user,1,marvalshot,7138,4630248027
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user1,49,marvalshot,11837,4630248018_1
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user1,50,marvalshot,1093,4630248019_1
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Darius Garland (37509423),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),304.98,411.99,49900,100.00%,49399,10883.59%,122,179.56,$326.51,DAL 4,CHI 2,user30,1,marvalshot,11868,4630248020_30
Josh Giddey (37509444),Klay Thompson (37509505),Kessler Edwards (37509721),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Naji Marshall (37509550),Ivica Zubac (37509426),294.44,398.22,50000,100.00%,356,133.04%,0,160.04,$3.99,DAL 3,CHI 2,user49,1,marvalshot,11924,4630248021_49
Kevin Porter Jr. (37509656),Klay Thompson (37509505),Kawhi Leonard (37509447),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Darius Garland (37509423),Quentin Grimes (37509557),Kylor Kelley (37509901),298.39,407.1,49900,100.00%,8993,241.89%,0,165.87,$7.26,DAL 3,LAC 2,user7,1,marvalshot,11931,4630248022_7
Josh Giddey (37509444),Quentin Grimes (37509557),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Damian Lillard (37509385),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),303.27,410.12,49700,100.00%,44853,3762.05%,55,200.36,$112.86,CHI 3,DAL 3,user4,1,marvalshot,11977,4630248023_4
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Sam Merrill (37509684),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),306.76,413.82,50000,100.00%,49995,30125.51%,1688,195.37,$903.77,DAL 3,CHI 2,user34,1,marvalshot,12009,4630248024_34
Coby White (37509464),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Patrick Williams (37509554),Kylor Kelley (37509901),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),302.25,404.19,49400,100.00%,41006,1588.12%,6,190.39,$47.64,DAL 3,CHI 2,user11,1,marvalshot,12034,4630248025_11
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Jarrett Allen (37509453),Kelly Oubre Jr. (37509455),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),302.29,406.02000000000004,49800,100.00%,42084,1310.13%,1,205.28,$39.3,DAL 4,DET 1,user42,1,marvalshot,12078,4630248026_42
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user1,50,marvalshot,12042,4630248027_1
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Santi Aldama (37509528),Giannis Antetokounmpo (37509355),304.25,414.06,50000,100.00%,48572,2001.19%,54,226.35999999999999,$60.04,DAL 4,DET 1,user2,49,marvalshot,11837,4630248018_2
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),302.18,411.01,50000,100.00%,39727,460.0%,0,212.45,$13.8,DAL 4,DET 2,user2,50,marvalshot,1093,4630248019_2
Josh Giddey (37509444),Quentin Grimes (37509557),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),304.34,405.35999999999996,50000,100.00%,48499,7629.9%,50,195.35,$228.9,DAL 4,CHI 2,user2,1,marvalshot,11840,4630248020_2
Josh Giddey (37509444),Sam Merrill (37509684),Naji Marshall (37509550),Kawhi Leonard (37509447),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Brandon Clarke (37509622),293.74,398.12,49600,100.00%,209,124.19%,0,154.67999999999998,$3.73,CHI 2,DAL 2,user33,1,marvalshot,11908,4630248021_33
Kevin Porter Jr. (37509656),Caris LeVert (37509603),Klay Thompson (37509505),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Naji Marshall (37509550),297.8,402.27,49900,100.00%,6083,201.0%,0,176.45,$6.03,DAL 3,LAC 1,user11,1,marvalshot,11935,4630248022_11
Josh Giddey (37509444),Desmond Bane (37509420),Matas Buzelis (37509624),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),303.0,408.06,50000,100.00%,43385,2798.11%,27,227.97,$83.94,CHI 3,DAL 3,user,1,marvalshot,4710,4630248023
Cade Cunningham (37509362),Coby White (37509464),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),AJ Green (37509695),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),304.72,410.78000000000003,50000,100.00%,49636,7451.55%,36,194.43,$223.55,DAL 3,CHI 2,user41,1,marvalshot,12016,4630248024_41
Coby White (37509464),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Patrick Williams (37509554),Kylor Kelley (37509901),Cade Cunningham (37509362),Giannis Antetokounmpo (37509355),Brandon Clarke (37509622),301.49999999999994,403.81999999999994,49800,100.00%,33236,1519.48%,25,180.64,$45.58,CHI 2,DAL 2,user7,1,marvalshot,12030,4630248025_7
Cade Cunningham (37509362),Klay Thompson (37509505),Naji Marshall (37509550),Santi Aldama (37509528),Kylor Kelley (37509901),Desmond Bane (37509420),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),302.13,409.15,50000,100.00%,40156,1271.91%,0,220.87,$38.16,DAL 4,MEM 2,user14,1,marvalshot,12052,4630248026_14
Cade Cunningham (37509362),Quentin Grimes (37509557),Klay Thompson (37509505),Naji Marshall (37509550),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),300.26,407.59,49800,100.00%,21748,277.94%,0,211.19,$8.34,DAL 4,LAC 2,user2,50,marvalshot,12042,4630248027_2
