Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
bobby portis,C/PF/F/UTIL,MIL,36.0%,0.03%,2.91%,3.71%,2.7%,$5.49
victor wembanyama,C/UTIL,SAS,41.74%,0.01%,2.84%,11.73%,13.1%,$3.72
damian lillard,PG/G/UTIL,MIL,33.68%,0.01%,1.88%,6.13%,4.9%,$1.89
dalen terry,SF/SG/G/F/UTIL,CHI,30.98%,0.01%,1.68%,0.29%,0.2%,$1.59
gary trent jr.,SF/SG/G/F/UTIL,MIL,30.02%,0.01%,1.55%,1.51%,1.1%,$1.12
mason plumlee,C/UTIL,PHX,26.08%,0.01%,1.24%,0.05%,0.1%,$0.96
jonas valanciunas,C/UTIL,WAS,28.36%,0.01%,1.49%,9.34%,16.5%,$0.74
josh giddey,PG/G/UTIL,CHI,30.03%,0.01%,1.43%,13.3%,15.0%,$0.59
nickeil alexander-walker,SF/SG/G/F/UTIL,MIN,27.09%,0.01%,1.22%,0.55%,0.4%,$0.3
aj green,PG/SG/G/UTIL,MIL,29.23%,0.01%,1.28%,0.13%,0.1%,$0.2
keyonte george,PG/G/UTIL,UTA,28.89%,0.01%,1.26%,13.69%,16.7%,$0.16
brook lopez,C/UTIL,MIL,28.06%,0.01%,1.16%,0.55%,0.8%,$0.06
naz reid,C/PF/F/UTIL,MIN,26.28%,0.01%,1.17%,4.06%,3.2%,$0.03
grayson allen,SG/G/UTIL,PHX,25.35%,0.01%,1.19%,0.69%,0.9%,$0.02
malcolm brogdon,PG/SG/G/UTIL,WAS,29.28%,0.01%,1.23%,34.6%,32.7%,$-0.0
tari eason,PF/SF/F/UTIL,HOU,26.19%,0.01%,1.15%,3.95%,3.0%,$-0.03
anthony davis,C/UTIL,LAL,28.66%,0.01%,1.2%,9.12%,10.8%,$-0.04
kyle kuzma,PF/F/UTIL,WAS,28.86%,0.01%,1.2%,22.4%,28.3%,$-0.07
devin booker,PG/SG/G/UTIL,PHX,29.53%,0.01%,1.15%,15.56%,10.1%,$-0.08
tyus jones,PG/G/UTIL,PHX,26.78%,0.01%,1.06%,4.44%,5.5%,$-0.34
pat connaughton,PF/SF/F/UTIL,MIL,27.0%,0.01%,1.05%,0.13%,0.1%,$-0.34
stephon castle,SG/G/UTIL,SAS,27.04%,0.0%,1.09%,11.82%,15.6%,$-0.37
kyshawn george,PF/SF/F/UTIL,WAS,27.06%,0.0%,1.07%,51.01%,51.1%,$-0.4
alexandre sarr,C/PF/F/UTIL,WAS,27.6%,0.0%,1.06%,56.4%,57.2%,$-0.42
jabari smith jr.,C/PF/F/UTIL,HOU,26.78%,0.0%,1.07%,21.22%,18.1%,$-0.44
john collins,C/PF/F/UTIL,UTA,27.37%,0.0%,1.02%,23.46%,17.5%,$-0.49
collin sexton,PG/SG/G/UTIL,UTA,26.86%,0.0%,1.03%,29.9%,28.1%,$-0.5
dalton knecht,SF/SG/G/F/UTIL,LAL,25.8%,0.01%,1.04%,0.34%,0.2%,$-0.51
alperen sengun,C/UTIL,HOU,23.31%,0.01%,0.97%,3.63%,3.8%,$-0.54
corey kispert,SF/SG/G/F/UTIL,WAS,26.26%,0.0%,1.02%,40.27%,31.7%,$-0.56
keldon johnson,PF/SF/F/UTIL,SAS,25.21%,0.01%,1.0%,5.1%,4.2%,$-0.57
tre jones,PG/G/UTIL,SAS,25.32%,0.0%,1.01%,1.53%,1.7%,$-0.59
ayo dosunmu,PG/SG/G/UTIL,CHI,26.6%,0.0%,1.0%,25.47%,23.2%,$-0.62
jalen smith,C/UTIL,CHI,24.55%,0.01%,0.93%,0.92%,1.3%,$-0.62
bam adebayo,C/UTIL,MIA,25.26%,0.01%,0.9%,2.28%,2.3%,$-0.63
taurean prince,PF/SF/F/UTIL,MIL,27.92%,0.0%,0.98%,0.28%,0.2%,$-0.63
jusuf nurkic,C/UTIL,PHX,23.83%,0.01%,0.84%,0.09%,0.2%,$-0.63
d'angelo russell,PG/G/UTIL,LAL,24.54%,0.01%,0.99%,2.32%,3.0%,$-0.64
dillon brooks,SF/F/UTIL,HOU,25.48%,0.0%,1.0%,2.99%,3.6%,$-0.66
amen thompson,SF/SG/G/F/UTIL,HOU,25.51%,0.0%,0.97%,29.66%,22.2%,$-0.7
isaiah collier,PG/G/UTIL,UTA,25.01%,0.0%,0.96%,6.87%,7.2%,$-0.73
julian champagnie,SF/SG/G/F/UTIL,SAS,25.39%,0.0%,0.95%,13.83%,9.7%,$-0.75
jalen green,SG/G/UTIL,HOU,24.96%,0.0%,0.91%,4.09%,4.9%,$-0.77
nikola vucevic,C/UTIL,CHI,25.74%,0.0%,0.88%,11.75%,14.8%,$-0.82
matas buzelis,PF/SF/F/UTIL,CHI,24.32%,0.0%,0.93%,9.14%,7.6%,$-0.83
harrison barnes,PF/SF/F/UTIL,SAS,25.26%,0.0%,0.93%,11.16%,9.7%,$-0.85
kevin love,C/UTIL,MIA,21.13%,0.01%,0.74%,0.1%,0.2%,$-0.87
jaden mcdaniels,SF/F/UTIL,MIN,25.03%,0.0%,0.87%,0.64%,0.8%,$-0.93
jimmy butler,PF/SF/F/UTIL,MIA,24.76%,0.0%,0.84%,16.07%,12.7%,$-0.96
austin reaves,PG/SG/G/UTIL,LAL,24.95%,0.0%,0.85%,17.78%,14.4%,$-0.98
