PG,SG,SF,PF,C,G,F,UTIL,Fpts Proj,Field Fpts Proj,Ceiling,Salary,Win %,Top 10%,ROI%,Cash %,Own. Sum,Avg. Return,Stack1 Type,Stack2 Type,Lineup Type,Sim Dupes
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kyle Filipowski (37303285),Kevin Durant (37302953),280.74,267.43,375.35,49900,0.23%,5.51%,3.08%,47.54%,216.97,$12.31,CLE 2,OKC 2,generated,1
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Kyle Filipowski (37303285),Collin Sexton (37303043),Jalen Williams (37302986),Devin Booker (37302957),278.10999999999996,262.69000000000005,370.15,50000,0.21%,4.98%,2.63%,44.22%,163.0,$10.54,CLE 2,UTA 2,generated,1
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Aaron Wiggins (37303377),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Darius Garland (37303029),Kyle Filipowski (37303285),Jarrett Allen (37303060),283.05,275.15000000000003,383.25,49800,0.16%,4.74%,2.34%,50.41%,236.16,$9.34,OKC 4,CLE 2,generated,1
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Darius Garland (37303029),283.62,275.09,382.0,49800,0.14%,4.51%,2.17%,51.22%,269.47,$8.68,OKC 3,ORL 1,generated,1
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kyle Filipowski (37303285),Jarrett Allen (37303060),Devin Booker (37302957),Lauri Markkanen (37303014),Isaiah Collier (37303246),284.52000000000004,268.09000000000003,380.28,49900,0.12%,4.89%,2.17%,52.53%,227.76,$8.68,UTA 3,OKC 1,generated,1
Collin Sexton (37303043),Cole Anthony (37303107),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Devin Booker (37302957),Pascal Siakam (37303036),Jarrett Allen (37303060),276.42,262.73,373.18,49500,0.16%,4.34%,2.13%,42.65%,173.78,$8.54,UTA 2,ORL 1,generated,1
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Isaiah Joe (37303303),Jalen Williams (37302986),Jarrett Allen (37303060),Cole Anthony (37303107),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),284.45,274.47,384.36,50000,0.12%,4.47%,2.04%,52.69%,239.8,$8.18,OKC 4,IND 1,generated,1
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Kyle Filipowski (37303285),Drew Eubanks (37303397),283.13,273.71999999999997,375.5400000000001,50000,0.12%,4.35%,1.97%,50.3%,222.9,$7.9,OKC 3,PHI 2,generated,1
Darius Garland (37303029),Cole Anthony (37303107),Ricky Council IV (37303632),Kyle Filipowski (37303285),Goga Bitadze (37303067),Shai Gilgeous-Alexander (37302935),Kevin Durant (37302953),T.J. McConnell (37303334),277.81000000000006,269.77,380.90000000000003,50000,0.18%,3.72%,1.95%,43.7%,234.3,$7.81,ORL 2,CLE 1,generated,1
Cole Anthony (37303107),Caris LeVert (37303172),Ricky Council IV (37303632),Kyle Filipowski (37303285),Isaiah Hartenstein (37303039),Devin Booker (37302957),Kevin Durant (37302953),Jarrett Allen (37303060),279.48,268.29,375.28,49600,0.12%,4.09%,1.87%,45.88%,226.5,$7.5,CLE 2,PHX 2,generated,1
Darius Garland (37303029),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Isaiah Hartenstein (37303039),Jared Butler (37303250),Lauri Markkanen (37303014),Jonas Valanciunas (37303111),270.03,257.34,371.85,49300,0.18%,3.58%,1.84%,35.58%,158.55,$7.34,OKC 2,WAS 2,generated,1
