PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Kyle Filipowski (37303285),Darius Garland (37303029),284.4597048611111,304.6164880935667,49800,68.87%,0,-53.13%,0,253.42,$-2.13,OKC 3,ORL 1,user49,34,marvalshot,224,4606391395_49
Collin Sexton (37303043),Cole Anthony (37303107),Brandon Miller (37302997),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Tyus Jones (37303150),Pascal Siakam (37303036),Jarrett Allen (37303060),263.11774305555554,287.0351500365517,50000,0.00%,0,-100.0%,0,127.41,$-4.0,UTA 1,ORL 1,user42,1,marvalshot,5875,4606391397_42
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kevin Durant (37302953),Jarrett Allen (37303060),Collin Sexton (37303043),Brice Sensabaugh (37303235),Cody Williams (37303327),252.13235677083333,280.40187665980733,49200,0.00%,0,-100.0%,0,170.01,$-4.0,UTA 3,OKC 1,user25,1,marvalshot,5809,4606391396_25
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Tosan Evbuomwan (37303360),Cody Williams (37303327),257.5447439236111,276.0422867284068,50000,0.00%,0,-100.0%,0,132.56,$-4.0,OKC 3,PHI 2,user7,1,marvalshot,5888,4606391399_7
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Brandon Miller (37302997),Tyrese Martin (37303145),247.94194010416666,271.3069571151418,50000,0.00%,0,-100.0%,0,137.56,$-4.0,CLE 2,OKC 2,user3,1,marvalshot,5655,4606391392_3
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Kyle Filipowski (37303285),Devin Booker (37302957),Jalen Williams (37302986),Nic Claxton (37303078),231.1450651041667,254.8708541769804,49200,0.00%,0,-100.0%,0,150.67000000000002,$-4.0,CLE 2,PHI 1,user4,1,marvalshot,5706,4606391393_4
Devin Booker (37302957),Cole Anthony (37303107),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Pascal Siakam (37303036),Jarrett Allen (37303060),277.15774305555556,303.65170381446444,49500,1.07%,0,-99.85%,0,154.63,$-3.99,UTA 2,PHX 1,user,1,marvalshot,2994,4606391397
Devin Booker (37302957),Cole Anthony (37303107),Ryan Dunn (37303231),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Bradley Beal (37303062),Pascal Siakam (37303036),Jarrett Allen (37303060),263.90774305555556,286.819948464346,49700,0.00%,0,-100.0%,0,128.77,$-4.0,PHX 3,ORL 1,user47,1,marvalshot,5880,4606391397_47
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Micah Potter (37303452),Tidjane Salaun (37303364),261.45474392361115,280.3747172273779,49400,0.00%,0,-100.0%,0,153.75,$-4.0,OKC 3,PHI 2,user14,1,marvalshot,5894,4606391399_14
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Svi Mykhailiuk (37303337),Oscar Tshiebwe (37303456),256.06474392361116,275.94489960245954,49600,0.00%,0,-100.0%,0,151.32999999999998,$-4.0,OKC 3,PHI 2,user31,1,marvalshot,5911,4606391399_31
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kyle Filipowski (37303285),Jarrett Allen (37303060),Cody Martin (37303223),Miles Bridges (37303026),Kevin Durant (37302953),245.52235677083334,271.25598563955486,50000,0.00%,0,-100.0%,0,189.14,$-4.0,CHA 2,OKC 1,user37,1,marvalshot,5821,4606391396_37
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Mark Williams (37303083),Devin Booker (37302957),Jalen Williams (37302986),Isaiah Collier (37303246),230.55506510416666,254.46135647542803,49300,0.00%,0,-100.0%,0,113.58,$-4.0,CLE 2,PHI 1,user15,1,marvalshot,5718,4606391393_15
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Svi Mykhailiuk (37303337),Darius Garland (37303029),277.1897048611111,297.28794135788377,49600,0.62%,0,-99.96%,0,196.85,$-4.0,OKC 3,ORL 1,user1,1,marvalshot,5769,4606391395_1
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Kyle Filipowski (37303285),Nick Smith Jr. (37303407),266.4247439236112,286.4731999692833,49900,0.00%,0,-100.0%,0,207.89999999999998,$-4.0,OKC 3,PHI 2,user13,1,marvalshot,5893,4606391399_13
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Bradley Beal (37303062),Brice Sensabaugh (37303235),Devin Booker (37302957),256.36194010416665,280.3016961581276,49700,0.00%,0,-100.0%,0,184.8,$-4.0,CLE 2,OKC 2,user40,1,marvalshot,5693,4606391392_40
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Josh Green (37303293),Jarrett Allen (37303060),Collin Sexton (37303043),Brice Sensabaugh (37303235),Kevin Durant (37302953),247.81235677083336,275.84177087018793,49300,0.00%,0,-100.0%,0,170.01,$-4.0,UTA 2,OKC 1,user31,1,marvalshot,5815,4606391396_31
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Nick Smith Jr. (37303407),Tosan Evbuomwan (37303360),252.49474392361114,271.0356335952328,49500,0.00%,0,-100.0%,0,132.56,$-4.0,OKC 3,PHI 2,user4,1,marvalshot,5885,4606391399_4
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Nic Claxton (37303078),Collin Sexton (37303043),Jalen Williams (37302986),Mark Williams (37303083),227.81506510416665,253.783400960121,49300,0.00%,0,-100.0%,0,89.56,$-4.0,CLE 2,PHI 1,user2,1,marvalshot,5704,4606391393_2
Cason Wallace (37303281),Cole Anthony (37303107),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Shai Gilgeous-Alexander (37302935),Micah Potter (37303452),Darius Garland (37303029),276.86970486111113,295.7895862106388,49100,0.48%,0,-99.98%,0,199.26999999999998,$-4.0,OKC 3,ORL 1,user4,1,marvalshot,5772,4606391395_4
Devin Booker (37302957),Cole Anthony (37303107),Cody Williams (37303327),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Bradley Beal (37303062),Pascal Siakam (37303036),Jarrett Allen (37303060),263.92774305555554,286.46951886613897,49200,0.00%,0,-100.0%,0,128.54,$-4.0,PHX 2,ORL 1,user14,1,marvalshot,5847,4606391397_14
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Nick Smith Jr. (37303407),Drew Eubanks (37303397),259.95474392361115,280.29528938864837,49400,0.00%,0,-100.0%,0,153.28,$-4.0,OKC 3,PHI 2,user17,1,marvalshot,5897,4606391399_17
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),LaMelo Ball (37302944),Brice Sensabaugh (37303235),Mark Williams (37303083),250.93194010416664,275.7322691326928,49600,0.00%,0,-100.0%,0,192.91,$-4.0,CLE 2,OKC 2,user11,1,marvalshot,5664,4606391392_11
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Tyrese Martin (37303145),Noah Clowney (37303133),Devin Booker (37302957),248.47194010416666,270.70197429044623,49100,0.00%,0,-100.0%,0,142.68,$-4.0,CLE 2,OKC 2,user33,1,marvalshot,5686,4606391392_33
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Miles Bridges (37303026),Jarrett Allen (37303060),Ben Simmons (37303095),Brandon Miller (37302997),Drew Eubanks (37303397),228.93235677083334,253.37841892311252,49900,0.00%,0,-100.0%,0,125.00999999999999,$-4.0,CHA 2,OKC 1,user20,1,marvalshot,5804,4606391396_20
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Kyle Filipowski (37303285),Drew Eubanks (37303397),275.30474392361117,297.0398443332078,50000,0.07%,0,-99.99%,0,228.62,$-4.0,OKC 3,PHI 2,user1,1,marvalshot,5883,4606391399_1
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Kevin Durant (37302953),Svi Mykhailiuk (37303337),260.03194010416667,286.3991549726953,49700,0.00%,0,-100.0%,0,160.29000000000002,$-4.0,CLE 2,OKC 2,user13,1,marvalshot,5666,4606391392_13
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Jalen Wilson (37303210),Jarrett Allen (37303060),Collin Sexton (37303043),Kevin Durant (37302953),Brice Sensabaugh (37303235),251.84235677083333,280.2618316912659,50000,0.00%,0,-100.0%,0,170.06,$-4.0,UTA 2,OKC 1,user33,1,marvalshot,5817,4606391396_33
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Micah Potter (37303452),Patty Mills (37303374),257.05474392361117,275.68694695533145,49400,0.00%,0,-100.0%,0,153.75,$-4.0,OKC 3,PHI 2,user48,1,marvalshot,5928,4606391399_48
Shai Gilgeous-Alexander (37302935),Andrew Nembhard (37303179),Ricky Council IV (37303632),Kyle Filipowski (37303285),Jarrett Allen (37303060),Ben Simmons (37303095),Tyrese Martin (37303145),Kevin Durant (37302953),244.66235677083333,270.65044932786986,49000,0.00%,0,-100.0%,0,190.97,$-4.0,BKN 2,OKC 1,user12,1,marvalshot,5796,4606391396_12
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Nic Claxton (37303078),Bradley Beal (37303062),Jalen Williams (37302986),Collin Sexton (37303043),228.21506510416668,252.84808495816847,49900,0.00%,0,-100.0%,0,78.6,$-4.0,CLE 2,PHI 1,user17,1,marvalshot,5720,4606391393_17
Devin Booker (37302957),Cole Anthony (37303107),Cody Williams (37303327),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Pascal Siakam (37303036),Jarrett Allen (37303060),274.1277430555556,299.5049859454876,49600,0.04%,0,-100.0%,0,135.86,$-4.0,UTA 2,PHX 1,user12,1,marvalshot,5845,4606391397_12
Devin Booker (37302957),Cole Anthony (37303107),Jalen Wilson (37303210),Ricky Council IV (37303632),Isaiah Hartenstein (37303039),Bradley Beal (37303062),Pascal Siakam (37303036),Jarrett Allen (37303060),263.6377430555555,286.3672933523521,50000,0.00%,0,-100.0%,0,128.59,$-4.0,PHX 2,ORL 1,user3,1,marvalshot,5836,4606391397_3
Shai Gilgeous-Alexander (37302935),Cason Wallace (37303281),Paul George (37303009),Jalen Williams (37302986),Jarrett Allen (37303060),Kelly Oubre Jr. (37303089),Kyle Filipowski (37303285),Reece Beekman (37303412),260.64474392361114,280.11686219089904,49900,0.00%,0,-100.0%,0,207.89999999999998,$-4.0,OKC 3,PHI 2,user22,1,marvalshot,5902,4606391399_22
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Bradley Beal (37303062),Nic Claxton (37303078),250.74194010416667,275.6292324422889,49600,0.00%,0,-100.0%,0,136.9,$-4.0,CLE 2,OKC 2,user21,1,marvalshot,5674,4606391392_21
Darius Garland (37303029),Cason Wallace (37303281),Ricky Council IV (37303632),Evan Mobley (37302989),Isaiah Hartenstein (37303039),Ziaire Williams (37303157),Kevin Durant (37302953),Ben Simmons (37303095),246.93194010416664,270.39591291192363,49900,0.00%,0,-100.0%,0,135.45,$-4.0,CLE 2,OKC 2,user46,1,marvalshot,5699,4606391392_46
Darius Garland (37303029),Max Strus (37303260),Ricky Council IV (37303632),Pascal Siakam (37303036),Oso Ighodaro (37303393),Collin Sexton (37303043),Jalen Williams (37302986),LaMelo Ball (37302944),228.28506510416668,252.8001597833158,50000,0.00%,0,-100.0%,0,81.12,$-4.0,CLE 2,PHI 1,user43,1,marvalshot,5746,4606391393_43
