Player,Position,Team,Cash%,Win%,Top1%,Sim. Own%,Proj. Own%,Avg. Return
jarrett allen,C/UTIL,CLE,28.87%,0.03%,1.45%,10.19%,16.1%,$0.41
darius garland,PG/G/UTIL,CLE,28.29%,0.03%,1.42%,10.13%,12.02%,$0.32
collin sexton,PG/SG/G/UTIL,UTA,27.88%,0.03%,1.42%,9.2%,7.76%,$0.32
jonas valanciunas,C/UTIL,WAS,24.61%,0.03%,1.33%,2.54%,3.56%,$0.15
jalen williams,PF/F/UTIL,OKC,28.11%,0.02%,1.29%,13.99%,11.94%,$0.03
lauri markkanen,PF/SF/F/UTIL,UTA,27.41%,0.02%,1.3%,12.3%,7.12%,$0.02
isaiah hartenstein,C/UTIL,OKC,29.48%,0.02%,1.25%,25.5%,38.79%,$-0.01
devin booker,PG/SG/G/UTIL,PHX,28.19%,0.02%,1.27%,16.8%,11.15%,$-0.04
kristaps porzingis,C/UTIL,BOS,26.48%,0.03%,1.24%,5.42%,8.43%,$-0.08
ricky council iv,PF/SF/F/UTIL,PHI,28.77%,0.02%,1.21%,34.1%,35.2%,$-0.1
pascal siakam,PF/F/UTIL,IND,27.41%,0.02%,1.22%,9.66%,9.21%,$-0.13
kevin durant,C/PF/F/UTIL,PHX,28.27%,0.02%,1.2%,18.7%,10.58%,$-0.16
kelly oubre jr.,SG/G/UTIL,PHI,28.43%,0.02%,1.16%,9.1%,12.88%,$-0.23
drew eubanks,C/UTIL,UTA,26.17%,0.02%,1.15%,6.64%,18.02%,$-0.27
jared butler,PG/G/UTIL,WAS,23.77%,0.03%,1.11%,1.5%,2.8%,$-0.34
shai gilgeous-alexander,PG/G/UTIL,OKC,29.17%,0.02%,1.06%,48.31%,52.26%,$-0.37
kyle filipowski,C/PF/F/UTIL,UTA,28.1%,0.02%,1.1%,53.42%,63.27%,$-0.37
myles turner,C/UTIL,IND,26.43%,0.02%,1.1%,4.98%,7.73%,$-0.39
paul george,SF/SG/G/F/UTIL,PHI,26.67%,0.02%,1.07%,17.58%,9.2%,$-0.5
isaiah collier,PG/SG/G/UTIL,UTA,26.4%,0.02%,1.06%,13.37%,16.58%,$-0.51
t.j. mcconnell,PG/G/UTIL,IND,24.03%,0.02%,1.08%,5.18%,11.79%,$-0.52
cole anthony,PG/SG/G/UTIL,ORL,26.97%,0.02%,1.03%,41.16%,47.12%,$-0.54
aaron wiggins,PF/SF/F/UTIL,OKC,26.76%,0.02%,1.03%,31.29%,32.2%,$-0.56
cason wallace,PG/SG/G/UTIL,OKC,26.94%,0.02%,1.03%,29.55%,39.23%,$-0.57
evan mobley,C/PF/F/UTIL,CLE,25.63%,0.02%,1.05%,16.92%,10.12%,$-0.57
andrew nembhard,PG/SG/G/UTIL,IND,26.54%,0.02%,1.02%,23.82%,26.08%,$-0.6
mark williams,C/UTIL,CHA,25.01%,0.02%,1.03%,9.67%,15.24%,$-0.63
brice sensabaugh,PF/SF/F/UTIL,UTA,25.79%,0.02%,1.01%,17.86%,15.57%,$-0.66
nick richards,C/UTIL,CHA,23.85%,0.02%,1.0%,0.07%,0.1%,$-0.66
tyrese haliburton,PG/G/UTIL,IND,24.48%,0.02%,1.0%,6.58%,5.89%,$-0.68
donovan mitchell,PG/SG/G/UTIL,CLE,24.12%,0.02%,1.03%,11.22%,7.3%,$-0.68
max strus,SF/SG/G/F/UTIL,CLE,25.73%,0.02%,0.98%,15.09%,12.45%,$-0.71
