Player,Position,Team,UpdatedProjection,UpdatedStdDev,Cash%,Top1%,Sim. Own%,Proj. Own%,Avg. Return,Game Minutes Remaining
Dejounte Murray,PG/G/UTIL,NOP,53.004999999999995,5.149375983958196,25.54%,5.94%,0.45%,4.03%,$6.89,12
Kristaps Porzingis,C/UTIL,BOS,46.366875,6.097823492234413,28.83%,2.8%,13.36%,9.61%,$3.38,12
Paul George,SF/SG/G/F/UTIL,PHI,45.44921875,5.741701650172323,33.75%,2.48%,18.13%,7.9%,$2.75,15
Cole Anthony,PG/SG/G/UTIL,ORL,49.6767578125,6.1889718874140085,43.57%,1.91%,52.01%,34.61%,$1.31,15
Cason Wallace,PG/SG/G/UTIL,OKC,27.88095486111111,3.3702863592923338,31.5%,2.11%,33.17%,43.45%,$1.01,14
Aaron Wiggins,PF/SF/F/UTIL,OKC,25.695052083333334,4.609067208615557,39.64%,2.21%,28.61%,23.77%,$0.99,14
Shai Gilgeous-Alexander,PG/G/UTIL,OKC,59.42817708333334,11.02364496685201,35.42%,1.71%,53.91%,44.21%,$0.66,14
Isaiah Hartenstein,C/UTIL,OKC,41.73493055555555,7.237088119730414,33.14%,1.91%,30.88%,37.44%,$0.59,14
Brice Sensabaugh,PF/SF/F/UTIL,UTA,28.2,11.12,32.32%,1.62%,37.44%,50.79%,$0.44,48
Collin Sexton,PG/SG/G/UTIL,UTA,41.42,15.43,26.3%,1.66%,18.1%,10.57%,$0.19,48
T.J. McConnell,PG/G/UTIL,IND,23.93,4.61269349147019,31.2%,1.66%,6.21%,9.37%,$-0.05,12
Kyle Filipowski,C/PF/F/UTIL,UTA,28.05,9.88,32.0%,1.25%,46.34%,75.44%,$-0.08,48
Evan Mobley,C/PF/F/UTIL,CLE,44.890625,6.134836077923241,30.82%,1.28%,18.62%,6.94%,$-0.73,12
Jayson Tatum,PF/SF/F/UTIL,BOS,55.889375,6.532721374078142,32.27%,1.67%,12.99%,14.61%,$-0.74,12
Drew Eubanks,C/UTIL,UTA,21.58,10.46,30.08%,1.17%,6.9%,20.82%,$-0.79,48
Pascal Siakam,PF/F/UTIL,IND,41.33125,5.135496264324885,18.7%,1.43%,10.18%,6.34%,$-1.20,12
Micah Potter,C/PF/F/UTIL,UTA,20.46,7.02,29.91%,0.9%,15.61%,21.29%,$-1.43,48
Luguentz Dort,SF/SG/G/F/UTIL,OKC,26.669253472222223,3.5357914930075824,27.21%,1.03%,13.17%,21.27%,$-1.48,14
Kevin Durant,C/PF/F/UTIL,PHX,48.41,14.61,29.73%,0.57%,24.19%,10.54%,$-1.58,48
Isaiah Collier,PG/SG/G/UTIL,UTA,25.32,8.19,23.97%,0.68%,18.45%,26.91%,$-1.96,48
Devin Booker,PG/SG/G/UTIL,PHX,47.52,14.1,25.71%,0.61%,20.96%,10.45%,$-2.03,48
Anthony Black,PG/G/UTIL,ORL,27.9287109375,4.275071337356567,2.33%,0.0%,0.57%,0.7%,$-2.04,15
