PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Collin Sexton (37303043),Cole Anthony (37303107),Jayson Tatum (37302938),Brice Sensabaugh (37303235),Kyle Filipowski (37303285),Keon Johnson (37303113),Oso Ighodaro (37303393),LaMelo Ball (37302944),49500,267.48,1.0928705997487135e-07,202.03,239.0,91.97
Tyrese Maxey (37302947),Svi Mykhailiuk (37303337),Ricky Council IV (37303632),Evan Mobley (37302989),Jonathan Isaac (37303342),Shai Gilgeous-Alexander (37302935),Tyrese Martin (37303145),Nic Claxton (37303078),49800,256.98,5.860732182497082e-09,114.43,224.0,93.92
Darius Garland (37303029),Cole Anthony (37303107),Brice Sensabaugh (37303235),Kevin Durant (37302953),Goga Bitadze (37303067),Ben Simmons (37303095),Josh Green (37303293),Isaiah Hartenstein (37303039),49900,253.98,0.0,142.99,231.0,91.22
Derrick White (37303047),Cole Anthony (37303107),Luguentz Dort (37303218),Pascal Siakam (37303036),Isaiah Hartenstein (37303039),Shai Gilgeous-Alexander (37302935),Brice Sensabaugh (37303235),Svi Mykhailiuk (37303337),49700,278.9,4.686714787033623e-06,219.85999999999999,243.0,95.26
Jared Butler (37303250),Cole Anthony (37303107),Jayson Tatum (37302938),Kevin Durant (37302953),Mark Williams (37303083),Keon Johnson (37303113),Ziaire Williams (37303157),Isaiah Joe (37303303),49700,255.35,4.549022852280869e-09,102.45,228.0,91.66
Collin Sexton (37303043),Isaiah Joe (37303303),Jayson Tatum (37302938),Jalen Williams (37302986),Kenrich Williams (37303423),Tyus Jones (37303150),Pascal Siakam (37303036),Brice Sensabaugh (37303235),49000,262.04,6.275737064369563e-09,118.2,227.0,92.15
T.J. McConnell (37303334),Jaylen Brown (37302978),Aaron Wiggins (37303377),Jalen Williams (37302986),Myles Turner (37303072),Collin Sexton (37303043),Kyle Filipowski (37303285),Devin Booker (37302957),49900,276.02,1.2055526837759636e-07,157.15,237.0,94.58
Jordan Poole (37303002),Cole Anthony (37303107),Ricky Council IV (37303632),Jayson Tatum (37302938),Mark Williams (37303083),T.J. McConnell (37303334),Kyle Filipowski (37303285),Kevin Durant (37302953),49900,262.09,5.86551243394578e-07,188.60999999999999,234.0,91.93
Shai Gilgeous-Alexander (37302935),Luguentz Dort (37303218),Ziaire Williams (37303157),Jalen Williams (37302986),Al Horford (37303196),Cole Anthony (37303107),Micah Potter (37303452),Evan Mobley (37302989),49900,265.12,4.401200125047293e-09,145.5,236.0,92.65
Shai Gilgeous-Alexander (37302935),Isaiah Collier (37303246),Jayson Tatum (37302938),Jonathan Isaac (37303342),Isaiah Hartenstein (37303039),Grayson Allen (37303185),Kyle Filipowski (37303285),Tyrese Martin (37303145),49100,272.26,3.0518437698295604e-07,211.0,233.0,94.67
Shai Gilgeous-Alexander (37302935),Derrick White (37303047),Tristan da Silva (37303168),Ricky Council IV (37303632),Evan Mobley (37302989),Collin Sexton (37303043),Brice Sensabaugh (37303235),Wendell Carter Jr. (37303183),49600,270.04,1.3870873415346796e-08,149.08,241.0,94.99
Cole Anthony (37303107),CJ McCollum (37303022),Jaylen Brown (37302978),Jayson Tatum (37302938),Jonathan Isaac (37303342),Isaiah Collier (37303246),Aaron Wiggins (37303377),Collin Sexton (37303043),50000,256.52,1.329141943913905e-08,123.44,233.0,88.87
Andrew Nembhard (37303179),Svi Mykhailiuk (37303337),Jayson Tatum (37302938),Brice Sensabaugh (37303235),Wendell Carter Jr. (37303183),Shai Gilgeous-Alexander (37302935),Tyrese Martin (37303145),Jarrett Allen (37303060),49900,270.26,1.95050402329624e-07,165.39,235.0,95.91
Shai Gilgeous-Alexander (37302935),Cole Anthony (37303107),Brice Sensabaugh (37303235),Oso Ighodaro (37303393),Isaiah Hartenstein (37303039),Collin Sexton (37303043),Royce O'Neale (37303153),Kristaps Porzingis (37303041),49900,280.0,2.4170278151096232e-08,189.04,229.0,103.81
Shai Gilgeous-Alexander (37302935),Collin Sexton (37303043),Luguentz Dort (37303218),Ricky Council IV (37303632),Yves Missi (37303124),Ben Simmons (37303095),Brice Sensabaugh (37303235),Tyrese Maxey (37302947),49900,269.62,1.8563543872742028e-08,161.95,241.0,93.63
Tyrese Maxey (37302947),Collin Sexton (37303043),Brice Sensabaugh (37303235),Aaron Wiggins (37303377),Kyle Filipowski (37303285),Isaiah Collier (37303246),Pascal Siakam (37303036),Shai Gilgeous-Alexander (37302935),49600,284.6,4.763337692550223e-06,244.59,243.0,98.13
Shai Gilgeous-Alexander (37302935),Isaiah Joe (37303303),Ricky Council IV (37303632),Jalen Williams (37302986),Kristaps Porzingis (37303041),Devin Booker (37302957),Aaron Wiggins (37303377),Isaiah Collier (37303246),49200,280.71,1.5973904840214347e-06,170.28,236.0,98.31
