Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation
5,43.0,49.388,0.807,0.945
6,45.0,53.33,0.827,0.936
7,71.0,42.671,0.766,0.904
8,134.0,43.903,0.589,0.791
9,71.0,39.938,0.806,0.926
10,211.0,25.262,0.565,0.817
11,210.0,18.307,0.73,0.873
12,387.0,9.359,0.708,0.844
13,104.0,15.59,0.895,0.962
14,382.0,14.413,0.618,0.793
15,106.0,32.218,0.762,0.902
16,387.0,11.217,0.725,0.852
17,173.0,19.406,0.72,0.871
18,246.0,22.769,0.517,0.784
19,280.0,19.727,0.445,0.737
20,247.0,12.467,0.731,0.881
21,177.0,26.429,0.678,0.839
22,247.0,25.129,0.562,0.765
23,141.0,20.88,0.785,0.917
Average,192.7,26.442,0.697,0.86
