iter	RMSE
0	11.4031127
1	10.89377245
2	10.38252654
3	9.897398539
4	9.448273501
5	8.998997955
6	8.59181857
7	8.196643548
8	7.823134244
9	7.461657582
10	7.111576166
11	6.782002072
12	6.475199407
13	6.180354745
14	5.898742489
15	5.631264191
16	5.383619405
17	5.136621143
18	4.904450158
19	4.686159917
20	4.473977866
21	4.280609554
22	4.092212051
23	3.915054994
24	3.745074518
25	3.577402141
26	3.42268703
27	3.268177921
28	3.127856741
29	2.992273787
30	2.862744299
31	2.743450121
32	2.631679469
33	2.520821404
34	2.415902614
35	2.318821581
36	2.227299176
37	2.135509303
38	2.049863737
39	1.970320187
40	1.895378678
41	1.826480815
42	1.75807355
43	1.694181237
44	1.631301785
45	1.57201876
46	1.518771678
47	1.467865512
48	1.419166477
49	1.373039739
50	1.329287488
51	1.288902171
52	1.251163885
53	1.213598833
54	1.181059313
55	1.148870994
56	1.120827757
57	1.095232183
58	1.0683461
59	1.044556547
60	1.020045318
61	0.9966246072
62	0.9765398697
63	0.9589989586
64	0.9397392084
65	0.9221607785
66	0.9068477657
67	0.8906008362
68	0.877966082
69	0.8660662039
70	0.8538595942
71	0.8413864248
72	0.8312185827
73	0.8206976763
74	0.8089059082
75	0.7985657984
76	0.7883258234
77	0.7809097955
78	0.7723600465
79	0.7665423712
80	0.7605555158
81	0.7530614971
82	0.7464699825
83	0.7404036892
84	0.7357139772
85	0.7310656793
86	0.7275404133
87	0.723162905
88	0.7189728197
89	0.7138314461
90	0.7093362782
91	0.7064326614
92	0.7036222091
93	0.7000029998
94	0.6965554982
95	0.6935732343
96	0.6898239365
97	0.6866372073
98	0.6836066255
99	0.6816841604
100	0.6792326364
101	0.6767355433
102	0.675043959
103	0.6731844186
104	0.6712385161
105	0.6696811986
106	0.6675059346
107	0.6662238188
108	0.6634528506
109	0.6616665969
110	0.6603372818
111	0.6583960178
112	0.6568689202
113	0.6549978504
114	0.6534263462
115	0.6520693946
116	0.6508812629
117	0.648956848
118	0.6482068871
119	0.6471625026
120	0.6463580736
121	0.6455845492
122	0.6447277296
123	0.6432355505
124	0.6419679408
125	0.6405899422
126	0.6405508678
127	0.6405120343
128	0.6394762059
129	0.6381428696
130	0.6367782217
131	0.6367274492
132	0.6357109133
133	0.6354501491
134	0.6354144456
135	0.6352570269
136	0.6341988997
137	0.6339867054
138	0.6338997129
139	0.6331717251
140	0.6330197048
141	0.6326127184
142	0.6324208492
143	0.6311268917
144	0.6310554669
145	0.6295543442
146	0.6293903975
147	0.6293460605
148	0.6288044621
149	0.6286203949
150	0.6285871893
151	0.6285557163
152	0.6281952543
153	0.6281646428
154	0.6271559367
155	0.6269995602
156	0.6269691262
157	0.6269353178
158	0.626905042
159	0.6268727128
160	0.6268059082
161	0.6267774146
162	0.6266844859
163	0.6257966898
164	0.6257640066
165	0.6257105182
166	0.6256874083
167	0.6241966286
168	0.6241700906
169	0.6226756599
170	0.6225842295
171	0.6214932629
172	0.6214662402
173	0.6201140804
174	0.6200761695
175	0.6196240712
176	0.6195690042
177	0.619519552
178	0.6194806037
179	0.6193242337
180	0.61822361
181	0.6181084207
182	0.6180610345
183	0.6179295143
184	0.61784247
185	0.6174620651
186	0.616548272
187	0.6165250515
188	0.6164750981
189	0.616419129
190	0.6163691397
191	0.6163466012
192	0.6160968369
193	0.6160661139
194	0.6147991141
195	0.6147769528
196	0.6147570539
197	0.6146716937
198	0.6146458784
199	0.6145967992
200	0.6145754248
201	0.6133561276
202	0.6132472959
203	0.6129586197
204	0.6129358321
205	0.6122470236
206	0.6122265119
207	0.6122061576
208	0.6111494605
209	0.6111018855
210	0.6110533612
211	0.6098972293
212	0.6098748105
213	0.6097430576
214	0.6097246485
215	0.6096168728
216	0.6095530046
217	0.6088740047
218	0.608748702
219	0.6087309164
220	0.6087094585
221	0.6086436792
222	0.6080807015
223	0.6079032277
224	0.6078835976
225	0.6069982158
226	0.6068345753
227	0.6068147588
228	0.6067743203
229	0.6062477798
230	0.6061785718
231	0.6061608887
232	0.6061182445
233	0.6051650963
234	0.60445547
235	0.6044170445
236	0.6043785175
237	0.6043629938
238	0.6043451687
239	0.6038427775
240	0.6034833033
241	0.6034460992
242	0.6033816719
243	0.6032740889
244	0.603175419
245	0.6031585698
246	0.6031418448
247	0.6031145939
248	0.6030789247
249	0.6026542494
