iter	Passed	Remaining
0	5	1275
1	9	1219
2	13	1144
3	17	1103
4	21	1062
5	25	1044
6	29	1023
7	33	1009
8	37	1000
9	41	991
10	44	976
11	48	964
12	52	954
13	56	946
14	60	946
15	64	945
16	68	942
17	73	942
18	76	934
19	80	928
20	84	920
21	88	913
22	91	906
23	95	899
24	99	892
25	102	885
26	106	880
27	110	874
28	114	869
29	117	863
30	121	859
31	125	853
32	129	848
33	132	843
34	137	842
35	141	840
36	145	839
37	150	838
38	154	837
39	159	838
40	164	836
41	168	833
42	173	833
43	177	831
44	182	829
45	186	827
46	191	826
47	195	823
48	200	821
49	204	818
50	209	815
51	213	813
52	217	810
53	222	807
54	227	805
55	231	802
56	236	799
57	240	795
58	244	790
59	247	785
60	251	780
61	256	776
62	259	770
63	263	765
64	266	759
65	270	754
66	274	748
67	277	743
68	281	738
69	285	732
70	288	727
71	292	722
72	295	717
73	299	712
74	303	707
75	306	702
76	310	697
77	314	693
78	317	688
79	321	683
80	325	678
81	329	674
82	332	669
83	336	665
84	340	660
85	343	655
86	347	651
87	351	646
88	355	642
89	358	637
90	362	632
91	365	628
92	369	623
93	372	618
94	376	614
95	379	609
96	383	604
97	387	600
98	390	595
99	394	592
100	398	588
101	402	583
102	405	579
103	409	575
104	413	570
105	417	566
106	420	562
107	424	558
108	427	553
109	431	549
110	435	545
111	439	541
112	443	537
113	447	533
114	450	529
115	454	525
116	457	520
117	461	516
118	465	512
119	469	508
120	472	504
121	476	499
122	479	495
123	484	492
124	488	488
125	491	483
126	495	479
127	499	475
128	503	472
129	507	468
130	512	465
131	516	461
132	520	458
133	524	454
134	529	450
135	533	447
136	537	443
137	541	439
138	546	436
139	550	432
140	555	429
141	559	425
142	564	422
143	568	418
144	573	414
145	577	411
146	581	407
147	585	403
148	589	399
149	593	395
150	597	392
151	602	388
152	607	384
153	611	381
154	615	377
155	620	374
156	625	370
157	629	366
158	634	363
159	638	359
160	642	355
161	646	351
162	650	347
163	654	343
164	658	339
165	662	335
166	666	331
167	670	327
168	674	323
169	678	319
170	683	315
171	687	311
172	691	307
173	695	303
174	700	300
175	704	296
176	708	292
177	712	288
178	717	284
179	721	280
180	725	276
181	730	272
182	734	268
183	738	264
184	743	261
185	747	257
186	751	253
187	756	249
188	760	245
189	764	241
190	767	237
191	772	233
192	776	229
193	780	225
194	784	221
195	789	217
196	793	213
197	797	209
198	801	205
199	805	201
200	809	197
201	813	193
202	817	189
203	821	185
204	825	181
205	829	177
206	833	173
207	837	169
208	841	165
209	845	161
210	849	157
211	853	153
212	857	149
213	862	145
214	865	140
215	869	136
216	873	132
217	877	128
218	880	124
219	884	120
220	888	116
221	891	112
222	895	108
223	898	104
224	901	100
225	905	96
226	909	92
227	912	88
228	916	84
229	920	80
230	923	75
231	927	71
232	930	67
233	934	63
234	938	59
235	942	55
236	945	51
237	949	47
238	952	43
239	956	39
240	959	35
241	963	31
242	967	27
243	971	23
244	974	19
245	978	15
246	982	11
247	986	7
248	989	3
249	993	0
