Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation,Configuration
5,43.0,68.85,0.77,0.882,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
6,45.0,73.0,0.797,0.893,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
7,71.0,51.506,0.771,0.882,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
8,134.0,55.155,0.542,0.762,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
9,71.0,42.857,0.844,0.919,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
10,211.0,37.665,0.459,0.741,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
11,210.0,20.795,0.722,0.856,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
12,387.0,13.944,0.597,0.774,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
13,104.0,18.434,0.891,0.946,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
14,382.0,15.592,0.617,0.786,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
15,106.0,41.781,0.763,0.877,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
16,387.0,11.572,0.734,0.857,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
17,173.0,25.644,0.678,0.832,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
18,246.0,29.231,0.481,0.738,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
19,280.0,26.307,0.411,0.689,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
20,247.0,16.935,0.672,0.84,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
21,177.0,38.43,0.611,0.789,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
22,247.0,26.651,0.589,0.77,"depth=4, learning_rate=0.05, l2_leaf_reg=2, iterations=250"
