Contest ID,Player Pool,Test MSE,Test R^2,Ownership Correlation,Configuration
5,43,55.953,0.778,0.929,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
6,45,66.771,0.777,0.912,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
7,71,37.111,0.799,0.915,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
8,134,39.203,0.634,0.812,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
9,71,41.934,0.797,0.919,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
10,211,27.599,0.525,0.802,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
11,210,16.11,0.765,0.881,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
12,387,10.461,0.67,0.82,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
13,104,15.162,0.897,0.961,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
14,382,13.625,0.637,0.8,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
15,106,30.352,0.777,0.904,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
16,387,10.621,0.74,0.861,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
17,173,20.731,0.695,0.862,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
18,246,20.779,0.556,0.791,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
19,280,18.682,0.477,0.745,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
20,247,12.609,0.725,0.876,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
21,177,24.567,0.681,0.842,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
22,247,21.87,0.621,0.795,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
23,141,20.288,0.792,0.924,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=250"
Average,192.7,26.529,0.702,0.862,"depth=5, learning_rate=0.1, l2_leaf_reg=9, iterations=250"
5,43,51.701,0.794,0.937,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
6,45,72.653,0.754,0.901,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
7,71,40.385,0.778,0.911,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
8,134,39.095,0.635,0.818,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
9,71,44.75,0.781,0.913,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
10,211,25.975,0.552,0.813,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
11,210,14.131,0.795,0.899,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
12,387,10.133,0.682,0.827,"depth=5, learning_rate=0.05, l2_leaf_reg=3, iterations=500"
