PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,REB,AST,STL,BLK,TOV,PLUS MINUS,DK
Naz Reid,MIN,MIN @ LAL,10/22/2024,L,26.0,12,4,1,0,0,1,-6,19
Dalton Knecht,LAL,LAL vs. MIN,10/22/2024,W,16.0,5,1,2,1,0,1,7,11.25
Al Horford,BOS,BOS vs. NYK,10/22/2024,W,26.0,11,3,5,1,1,0,19,27.75
Luke Kornet,BOS,BOS vs. NYK,10/22/2024,W,19.0,4,3,1,1,1,0,2,13.25
Mike Conley,MIN,MIN @ LAL,10/22/2024,L,20.0,5,4,2,1,0,3,-22,13.5
Rudy Gobert,MIN,MIN @ LAL,10/22/2024,L,35.0,13,14,2,0,1,1,-10,35
Jaden McDaniels,MIN,MIN @ LAL,10/22/2024,L,16.0,6,2,1,1,0,1,-8,11.5
Rui Hachimura,LAL,LAL vs. MIN,10/22/2024,W,35.0,18,5,1,2,1,0,19,32.25
Nickeil Alexander-Walker,MIN,MIN @ LAL,10/22/2024,L,28.0,14,5,0,0,0,2,13,20.75
D'Angelo Russell,LAL,LAL vs. MIN,10/22/2024,W,34.0,9,1,5,2,0,1,15,21.75
Joe Ingles,MIN,MIN @ LAL,10/22/2024,L,7.0,0,0,1,0,0,0,1,1.5
Julius Randle,MIN,MIN @ LAL,10/22/2024,L,34.0,16,9,4,0,0,2,2,32.75
Anthony Davis,LAL,LAL vs. MIN,10/22/2024,W,38.0,36,16,4,1,3,1,1,70
LeBron James,LAL,LAL vs. MIN,10/22/2024,W,35.0,16,5,4,0,2,2,-6,31.75
Neemias Queta,BOS,BOS vs. NYK,10/22/2024,W,4.0,0,0,0,0,0,0,0,0
Jericho Sims,NYK,NYK @ BOS,10/22/2024,L,24.0,4,9,1,0,2,1,-5,20.25
Sam Hauser,BOS,BOS vs. NYK,10/22/2024,W,24.0,10,5,1,0,0,0,6,18.75
Miles McBride,NYK,NYK @ BOS,10/22/2024,L,26.0,22,0,2,0,0,1,-18,26.5
Xavier Tillman,BOS,BOS vs. NYK,10/22/2024,W,18.0,2,7,2,0,0,0,-3,13.75
Mikal Bridges,NYK,NYK @ BOS,10/22/2024,L,35.0,16,0,2,0,0,1,-33,19.5
OG Anunoby,NYK,NYK @ BOS,10/22/2024,L,34.0,4,5,3,1,0,0,-21,16.75
Jaylen Brown,BOS,BOS vs. NYK,10/22/2024,W,30.0,23,7,1,1,0,1,23,37.25
Cameron Payne,NYK,NYK @ BOS,10/22/2024,L,21.0,11,3,4,1,0,1,0,22.75
Donte DiVincenzo,MIN,MIN @ LAL,10/22/2024,L,32.0,10,3,3,2,0,1,-5,22.75
Pacôme Dadiet,NYK,NYK @ BOS,10/22/2024,L,13.0,3,1,0,0,0,0,10,4.75
Tyler Kolek,NYK,NYK @ BOS,10/22/2024,L,5.0,3,0,0,0,0,2,7,2.5
Jordan Walsh,BOS,BOS vs. NYK,10/22/2024,W,6.0,0,0,1,0,0,0,-9,1.5
Jacob Toppin,NYK,NYK @ BOS,10/22/2024,L,3.0,0,0,0,0,0,0,0,0
Ariel Hukporti,NYK,NYK @ BOS,10/22/2024,L,6.0,0,4,0,0,1,0,9,7
Payton Pritchard,BOS,BOS vs. NYK,10/22/2024,W,25.0,3,4,4,0,0,1,7,14
Jalen Brunson,NYK,NYK @ BOS,10/22/2024,L,25.0,22,1,2,0,0,4,-23,24.75
Josh Hart,NYK,NYK @ BOS,10/22/2024,L,25.0,12,4,3,0,0,1,-23,21
Derrick White,BOS,BOS vs. NYK,10/22/2024,W,27.0,24,3,4,1,0,0,21,38.75
Jayson Tatum,BOS,BOS vs. NYK,10/22/2024,W,30.0,37,4,10,1,1,1,26,64.5
Karl-Anthony Towns,NYK,NYK @ BOS,10/22/2024,L,24.0,12,7,3,0,0,0,-18,25.75
Gabe Vincent,LAL,LAL vs. MIN,10/22/2024,W,17.0,2,2,2,0,0,2,-2,6.5
Jaxson Hayes,LAL,LAL vs. MIN,10/22/2024,W,15.0,10,4,0,0,1,0,-1,17
Anthony Edwards,MIN,MIN @ LAL,10/22/2024,L,41.0,27,6,3,0,0,4,0,39.5
Austin Reaves,LAL,LAL vs. MIN,10/22/2024,W,36.0,12,9,4,1,1,0,12,33.25
Max Christie,LAL,LAL vs. MIN,10/22/2024,W,11.0,2,2,0,0,0,0,-5,4.5
Bronny James,LAL,LAL vs. MIN,10/22/2024,W,3.0,0,1,0,0,0,0,-5,1.25
Jrue Holiday,BOS,BOS vs. NYK,10/22/2024,W,31.0,18,4,4,1,0,0,23,33
Andre Drummond,PHI,PHI vs. MIL,10/23/2024,L,25.0,10,13,0,0,0,1,-6,25.75
Giannis Antetokounmpo,MIL,MIL @ PHI,10/23/2024,W,31.0,25,14,7,0,1,3,7,53.5
Daniel Theis,NOP,NOP vs. CHI,10/23/2024,W,19.0,8,2,3,2,3,2,15,24
Delon Wright,MIL,MIL @ PHI,10/23/2024,W,13.0,2,0,0,1,0,0,2,4
Pat Connaughton,MIL,MIL @ PHI,10/23/2024,W,21.0,9,4,1,0,1,0,5,18
Taurean Prince,MIL,MIL @ PHI,10/23/2024,W,30.0,16,5,3,0,0,0,2,28.75
Caleb Martin,PHI,PHI vs. MIL,10/23/2024,L,37.0,12,9,3,0,1,3,-20,28.25
Seth Curry,CHA,CHA @ HOU,10/23/2024,W,26.0,7,2,1,0,1,0,3,14
Miles Bridges,CHA,CHA @ HOU,10/23/2024,W,32.0,10,9,2,1,1,4,4,26.25
LaMelo Ball,CHA,CHA @ HOU,10/23/2024,W,38.0,34,8,11,1,1,2,14,65.5
Nick Richards,CHA,CHA @ HOU,10/23/2024,W,24.0,6,8,1,0,2,1,-1,21
Jalen Green,HOU,HOU vs. CHA,10/23/2024,L,35.0,28,2,0,0,0,0,-11,33
