PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,REB,AST,STL,BLK,TOV,PLUS MINUS,DK,GAME_DAY,MIN_LAST_10_AVG,MIN_CUM_AVG,MIN_TREND,PTS_LAST_10_AVG,PTS_CUM_AVG,PTS_TREND,REB_LAST_10_AVG,REB_CUM_AVG,REB_TREND,AST_LAST_10_AVG,AST_CUM_AVG,AST_TREND,DK_LAST_10_AVG,DK_CUM_AVG,DK_TREND,PLUS MINUS_LAST_10_AVG,PLUS MINUS_CUM_AVG,PLUS MINUS_TREND,DAYS_REST,IS_B2B,IS_HOME,WIN,PTS_PER_MIN,AST_PER_MIN,REB_PER_MIN,MIN_VS_TEAM_AVG,PTS_VS_TEAM_AVG,REB_VS_TEAM_AVG,AST_VS_TEAM_AVG,MIN_CONSISTENCY,PTS_CONSISTENCY,REB_CONSISTENCY,AST_CONSISTENCY,DK_CONSISTENCY,PLUS MINUS_CONSISTENCY,MIN_ABOVE_AVG_STREAK,PTS_ABOVE_AVG_STREAK,DK_TREND_5,BLOWOUT_GAME
A.J. Lawson,TOR,TOR @ NYK,2024-12-23,L,4.000,3,0,0,0,0,0,5,3.500,59,4.000,4.000,0,3.000,3.000,0,0.000,0.000,0,0.000,0.000,0,3.500,3.500,0,5.000,5.000,0,0.000,0,0,0,0.750,0.000,0.000,0.201,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
A.J. Lawson,TOR,TOR @ MEM,2024-12-26,L,5.000,6,2,0,0,0,0,-4,9.000,61,4.500,4.500,0,4.500,4.500,0,1.000,1.000,0,0.000,0.000,0,6.250,6.250,0,0.500,0.500,0,3.000,0,0,0,1.200,0.000,0.400,0.251,0.571,0.600,0.000,0.707,2.121,1.414,0.000,3.889,6.364,1.000,1.000,2.750,0
A.J. Lawson,TOR,TOR @ BOS,2024-12-31,L,4.000,0,1,0,0,0,0,-8,1.250,66,4.333,4.333,0,3.000,3.000,0,1.000,1.000,0,0.000,0.000,0,4.583,4.583,0,-2.333,-2.333,0,5.000,0,0,0,0.000,0.000,0.250,0.233,0.000,0.318,0.000,0.577,3.000,1.000,0.000,3.987,6.658,0.000,0.000,-1.667,0
A.J. Lawson,TOR,TOR vs. ORL,2025-01-21,W,1.000,2,0,0,0,0,0,-3,2.000,87,3.500,3.500,0,2.750,2.750,0,0.750,0.750,0,0.000,0.000,0,3.938,3.938,0,-2.500,-2.500,0,21.000,0,1,1,2.000,0.000,0.000,0.063,0.275,0.000,0.000,1.732,2.500,0.957,0.000,3.502,5.447,0.000,0.000,-0.646,0
AJ Green,MIL,MIL @ PHI,2024-10-23,W,4.000,0,0,1,1,0,0,4,3.500,2,4.000,4.000,0,0.000,0.000,0,0.000,0.000,0,1.000,1.000,0,3.500,3.500,0,4.000,4.000,0,0.000,0,0,1,0.000,0.250,0.000,0.234,0.000,0.000,0.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
AJ Green,MIL,MIL vs. CHI,2024-10-25,L,11.000,9,1,1,0,0,0,-6,13.250,4,7.500,7.500,0,4.500,4.500,0,0.500,0.500,0,1.000,1.000,0,8.375,8.375,0,-1.000,-1.000,0,2.000,0,1,0,0.818,0.091,0.091,0.593,0.959,0.277,0.542,4.950,6.364,0.707,0.000,6.894,7.071,1.000,1.000,4.875,0
AJ Green,MIL,MIL @ BKN,2024-10-27,L,13.000,5,0,1,0,0,1,-3,6.500,6,9.333,9.333,0,4.667,4.667,0,0.333,0.333,0,1.000,1.000,0,7.750,7.750,0,-1.667,-1.667,0,2.000,0,0,0,0.385,0.077,0.000,0.710,0.637,0.000,0.650,4.726,4.509,0.577,0.000,4.994,5.132,2.000,2.000,-0.625,0
AJ Green,MIL,MIL @ BOS,2024-10-28,L,3.000,3,1,0,0,0,0,4,4.750,7,7.750,7.750,0,4.250,4.250,0,0.500,0.500,0,0.750,0.750,0,7.000,7.000,0,-0.250,-0.250,0,1.000,1,0,0,1.000,0.000,0.333,0.162,0.361,0.302,0.000,4.992,3.775,0.577,0.500,4.345,5.058,0.000,0.000,-0.750,0
AJ Green,MIL,MIL @ MEM,2024-10-31,L,5.000,0,0,0,0,0,0,-1,0.000,10,7.200,7.200,0,3.400,3.400,0,0.400,0.400,0,0.600,0.600,0,5.600,5.600,0,-0.400,-0.400,0,3.000,0,0,0,0.000,0.000,0.000,0.289,0.000,0.000,0.000,4.494,3.782,0.548,0.548,4.895,4.393,0.000,0.000,-1.400,0
AJ Green,MIL,MIL @ CLE,2024-11-04,L,34.000,21,6,1,0,0,1,5,33.000,14,11.667,11.667,1,6.333,6.333,1,1.333,1.333,1,0.667,0.667,0,10.167,10.167,1,0.500,0.500,0,4.000,0,0,0,0.618,0.029,0.176,1.417,1.842,1.224,0.476,11.656,7.941,2.338,0.516,12.012,4.506,1.000,1.000,5.900,0
AJ Green,MIL,MIL vs. UTA,2024-11-07,W,18.000,12,0,2,1,0,1,13,18.500,16,12.571,12.571,1,7.143,7.143,1,1.143,1.143,1,0.857,0.857,0,11.357,11.357,1,2.286,2.286,1,3.000,0,1,1,0.667,0.111,0.000,1.059,1.366,0.000,1.400,10.907,7.559,2.193,0.690,11.409,6.264,2.000,2.000,1.050,0
AJ Green,MIL,MIL @ NYK,2024-11-08,L,25.000,9,0,0,0,0,0,-4,10.500,17,14.125,14.125,1,7.375,7.375,1,1.000,1.000,1,0.750,0.750,0,11.250,11.250,1,1.500,1.500,1,1.000,1,0,0,0.360,0.000,0.000,1.366,1.245,0.000,0.000,11.012,7.029,2.070,0.707,10.567,6.211,3.000,3.000,0.800,0
