Contest ID,DK Name,Salary,Points Proj,Value,Own Actual,Contest Size,Games Played,Plus,Position,Team,Ceiling,Minutes,Min Actual,DK,Plus Minus,Player
1,Devin Vassell,5000,30.7,6.14,49.71,17835,8,5.7,SG,SAS,4.26,31.8,25,31.8,7,Devin Vassell
1,Zach Collins,3500,27.77,7.94,39.81,17835,8,10.27,C,SAS,5.05,20.4,24,24.5,-6,Zach Collins
1,Scottie Barnes,9100,45,4.95,38.9,17835,8,-0.5,PG/SF,TOR,9.16,34.3,31,42,-21,Scottie Barnes
1,Chris Paul,5900,35.72,6.06,30.92,17835,8,6.22,PG,SAS,4.94,26.8,29,33.5,-5,Chris Paul
1,Luka Doncic,11200,58.22,5.2,29.83,17835,8,2.22,PG,DAL,14.69,37.9,0,0,0,Luka Doncic
1,Charles Bassey,3000,24.54,8.18,28.28,17835,8,9.54,C,SAS,5.52,10.1,13,14.8,-5,Charles Bassey
1,Nikola Jokic,12000,63.31,5.28,26.88,17835,8,3.31,C,DEN,25.62,35.2,39,73,-8,Nikola Jokic
1,Royce O'Neale,4900,27.51,5.62,25.57,17835,8,3.01,SF/PF,BKN,2.5,24.5,28,36.3,-3,Royce ONeale
1,Shai Gilgeous-Alexander,10100,52.09,5.16,22.99,17835,8,1.59,PG,OKC,15.39,34.2,30,50,28,Shai Gilgeous-Alexander
1,Chris Boucher,3600,18,5,21.63,17835,8,0,PF,TOR,3.32,15.4,17,16.5,-24,Chris Boucher
1,Alexandre Sarr,5200,26.69,5.13,21.06,17835,8,0.69,PF/C,WAS,3.06,26.2,0,0,0,Alexandre Sarr
1,Talen Horton-Tucker,3100,18.91,6.1,20.78,17835,8,3.41,SF,CHI,2.73,17.6,21,26.8,10,Talen Horton-Tucker
1,Malik Monk,6700,34.64,5.17,17.8,17835,8,1.14,PG/SG,SAC,4.84,26.1,32,33.8,-2,Malik Monk
1,Stephon Castle,4900,27.16,5.54,16.6,17835,8,2.66,SG,SAS,3.51,26.1,23,29,-11,Stephon Castle
1,Josh Giddey,6600,35.22,5.34,15.56,17835,8,2.22,PG,CHI,5.95,24.9,24,18,4,Josh Giddey
1,Ayo Dosunmu,5300,27.18,5.13,14.82,17835,8,0.68,PG/SG,CHI,2.5,29.1,35,63,23,Ayo Dosunmu
1,RJ Barrett,8200,39.36,4.8,14.2,17835,8,-1.64,SF,TOR,7.94,32.2,31,35.8,-15,RJ Barrett
1,Matas Buzelis,3000,16.68,5.56,13.82,17835,8,1.68,SF/PF,CHI,1.63,13,19,21.8,9,Matas Buzelis
1,Evan Mobley,7800,38.64,4.95,13.52,17835,8,-0.36,PF/C,CLE,7.5,31.2,32,44.3,13,Evan Mobley
1,Josh Hart,6700,34.29,5.12,13.28,17835,8,0.79,SF/PF,NYK,3.48,34.7,38,43,17,Josh Hart
1,Jeremy Sochan,6000,26.88,4.48,12.65,17835,8,-3.12,C,SAS,4.17,29.2,32,37.5,-2,Jeremy Sochan
1,Devin Booker,9400,46.88,4.99,11.95,17835,8,-0.12,PG/SG,PHX,9.2,35.6,37,38,-10,Devin Booker
1,Zach LaVine,7600,38.17,5.02,11.33,17835,8,0.17,SG/SF,CHI,5.14,33.5,33,34.8,16,Zach LaVine
1,Jared Butler,3000,12,4,11.3,17835,8,-3,PG,WAS,2.07,12.8,19,13,-18,Jared Butler
1,Brandon Miller,8500,42.27,4.97,11.03,17835,8,-0.23,SG/SF,CHA,6.31,32.1,30,40,-25,Brandon Miller
1,Karl-Anthony Towns,9000,46.97,5.22,10.56,17835,8,1.97,C,NYK,12.57,32.5,39,54,25,Karl-Anthony Towns
1,Marvin Bagley III,3000,15,5,9.79,17835,8,0,C,WAS,2.78,17.5,24,30.5,-12,Marvin Bagley
1,DeMar DeRozan,7500,37.58,5.01,8.74,17835,8,0.08,SF/PF,SAC,5.66,37.2,35,32.8,-12,DeMar DeRozan
1,Jalen Williams,8700,41.12,4.73,8.38,17835,8,-2.38,PF,OKC,8.21,31.5,28,32.8,25,Jalen Williams
1,Jalen Brunson,8400,41.7,4.96,8.05,17835,8,-0.3,PG,NYK,8.41,35.2,27,37.3,22,Jalen Brunson
1,Keldon Johnson,4600,24.68,5.36,8.01,17835,8,1.68,SF/PF,SAS,3.6,28.6,28,35.3,-5,Keldon Johnson
1,Mikal Bridges,5700,27.68,4.86,7.65,17835,8,-0.82,SG/SF,NYK,2.29,35.1,47,35.3,26,Mikal Bridges
1,Donovan Mitchell,8800,41.19,4.68,7.25,17835,8,-2.81,PG/SG,CLE,7.97,34.5,33,49.3,21,Donovan Mitchell
1,Bruno Fernando,3000,12,4,7.09,17835,8,-3,C,TOR,2.44,13.6,19,18.8,-2,Bruno Fernando
1,Dejounte Murray,8100,40.44,4.99,6.83,17835,8,-0.06,PG,NOP,6.81,35.1,35,31.8,1,Dejounte Murray
1,Ja Morant,8700,43.24,4.97,6.72,17835,8,-0.26,PG,MEM,11.03,30.2,28,23.3,-32,Ja Morant
1,Santi Aldama,5500,26.05,4.74,6.39,17835,8,-1.45,PF,MEM,3.44,26.5,29,35,23,Santi Aldama
1,Harrison Barnes,4200,22.26,5.3,6.31,17835,8,1.26,SF/PF,SAS,1.75,28.9,22,11.8,-8,Harrison Barnes
1,Mason Plumlee,4100,19.52,4.76,6.22,17835,8,-0.98,C,PHX,2.61,14.8,26,27,8,Mason Plumlee
1,KJ Simpson,3700,18.54,5.01,6.08,17835,8,0.04,PG,CHA,1.99,14.6,17,6.5,-19,KJ Simpson
1,PJ Washington,6800,28.48,4.19,5.88,17835,8,-5.52,PF,DAL,2.72,31.5,24,26.8,5,PJ Washington
1,Oso Ighodaro,4400,22.96,5.22,5.62,17835,8,0.96,PF/C,PHX,1.81,18.9,20,7.5,-12,Oso Ighodaro
1,Miles McBride,4100,19.78,4.82,5.57,17835,8,-0.72,PG/SG,NYK,1.55,21.7,28,21.3,13,Miles McBride
1,Yves Missi,5100,27.78,5.45,5.48,17835,8,2.28,C,NOP,3.86,23.6,25,24,1,Yves Missi
1,Nikola Vucevic,8500,43.9,5.16,5.16,17835,8,1.4,C,CHI,7.69,33.5,0,0,0,Nikola Vucevic
1,Julian Champagnie,5000,25.05,5.01,5.09,17835,8,0.05,SG/SF,SAS,2.5,21.9,25,20.3,-20,Julian Champagnie
1,Isaiah Joe,3600,15.49,4.3,5.05,17835,8,-2.51,SG/SF,OKC,1.23,19,21,28,15,Isaiah Joe
1,Jaren Jackson Jr.,7300,34.5,4.73,4.42,17835,8,-2,PF/C,MEM,7.12,31.3,25,22.5,-17,Jaren Jackson
1,Nick Richards,5800,27.11,4.67,4.4,17835,8,-1.89,C,CHA,4.19,25.8,24,21,-6,Nick Richards
