DK Name,Position,Team,Minutes,Salary,DK,Own%,StdDev,FieldFpts,Predicted_Minutes
Cade Cunningham,PG,DET,36,10600,48.88,4.69,15.19,49.52,34.4
Anthony Davis,C,LAL,36,10500,53.98,15.83,17.96,53.9,37.9
LaMelo Ball,PG,CHA,38,10200,57.28,32.15,15.82,58.64,37.4
LeBron James,PF,LAL,34,9900,47.49,7.1,16.22,47.99,37.1
Tyrese Maxey,PG,PHI,38,9800,49.89,8.22,13.17,49.52,36.7
Domantas Sabonis,C,SAC,38,9800,53.21,14.95,14.67,50.72,38.0
Karl-Anthony Towns,C,NYK,37,9700,52.86,23.7,15.86,53.97,37.800000000000004
Trae Young,PG,ATL,36,9600,52.46,9.35,15.77,49.56,35.29999999999997
Joel Embiid,C,PHI,0,9500,0.0,0.09,0.0,0.0,0.0
Kevin Durant,PF,PHX,36,9300,49.16,12.48,14.99,48.49,36.0
Ja Morant,PG,MEM,30,9100,42.64,5.75,16.67,44.14,29.7
Scottie Barnes,PG/SF,TOR,34,9000,43.5,7.61,13.9,44.86,32.99999999999999
Alperen Sengun,C,HOU,31,9000,43.25,3.99,17.02,42.88,32.0
Devin Booker,PG/SG,PHX,36,9000,47.17,8.06,14.05,46.08,36.1
Jalen Brunson,PG,NYK,37,9000,45.72,5.45,13.27,45.32,37.7
Zion Williamson,PF,NOP,27,8800,36.67,2.55,17.05,38.54,28.1
Stephen Curry,PG,GSW,34,8700,44.1,7.13,13.75,44.02,32.49999999999999
Jalen Johnson,PF,ATL,0,8600,0.0,0.08,0.0,0.0,0.0
Brandon Ingram,PG,NOP,0,8600,0.0,0.08,0.0,0.0,0.0
Dejounte Murray,PG,NOP,35,8500,41.47,3.47,12.21,41.69,35.39999999999999
Evan Mobley,PF/C,CLE,32,8500,36.83,1.1,12.47,36.83,32.0
Paolo Banchero,PF,ORL,34,8500,39.52,6.5,13.19,43.11,35.4
Trey Murphy III,SG/SF,NOP,36,8400,35.53,0.48,9.27,36.71,34.7
Donovan Mitchell,PG/SG,CLE,32,8400,39.34,3.7,13.81,39.48,32.7
De'Aaron Fox,PG,SAC,37,8300,41.81,4.35,11.12,41.81,38.0
Mark Williams,C,CHA,0,8200,0.0,0.08,0.0,0.0,0.0
Paul George,SG/SF,PHI,35,8200,43.38,6.38,12.52,41.72,35.4
Zach LaVine,SG/SF,CHI,35,8200,43.71,6.77,13.02,41.82,35.4
Nikola Vucevic,C,CHI,33,8100,44.74,11.62,14.62,43.34,33.3
Desmond Bane,SG,MEM,32,8100,39.51,4.14,12.93,39.7,30.599999999999987
Amen Thompson,PG/SF,HOU,37,8000,39.59,2.69,9.98,38.75,35.1
Jaren Jackson Jr.,PF/C,MEM,31,8000,42.77,12.6,15.94,42.56,30.8
Franz Wagner,SF,ORL,26,8000,29.15,1.12,12.93,30.95,28.6
RJ Barrett,SF,TOR,34,7800,39.97,14.64,12.49,42.21,32.5
CJ McCollum,PG/SG,NOP,35,7800,34.25,1.08,9.35,35.0,34.3
Darius Garland,PG,CLE,32,7700,36.28,3.4,12.32,37.04,32.1
Austin Reaves,PG,LAL,36,7700,36.65,1.61,9.67,36.89,36.7
Jalen Suggs,PG/SG,ORL,28,7700,28.26,0.36,10.85,27.37,29.1
Josh Hart,SF/PF,NYK,38,7700,38.78,4.18,8.59,38.79,38.0
Dyson Daniels,PG/SG,ATL,34,7500,34.2,1.58,9.31,33.51,32.6
Fred VanVleet,PG,HOU,37,7500,34.16,0.77,7.59,35.12,35.0
Jalen Green,SG,HOU,33,7500,33.8,1.2,10.57,33.73,31.8
Lauri Markkanen,SF/PF,UTA,31,7500,36.88,3.5,12.77,35.08,30.8
Miles Bridges,PF,CHA,33,7400,40.68,14.74,13.02,40.26,33.4
Malik Monk,PG/SG,SAC,35,7200,36.92,4.89,10.34,36.6,38.0
Jarrett Allen,C,CLE,31,7100,33.64,2.62,11.77,34.64,32.2
Josh Giddey,PG,CHI,31,7000,37.11,9.01,12.23,37.96,31.0
Collin Sexton,PG/SG,UTA,32,7000,37.48,4.3,12.69,34.07,32.800000000000026
DeMar DeRozan,SF,SAC,37,6900,35.31,3.72,9.1,34.7,38.0
Keyonte George,PG,UTA,32,6800,34.75,1.88,11.0,31.95,32.6
Immanuel Quickley,PG,TOR,0,6700,0.0,0.06,0.0,0.0,0.0
Jordan Poole,PG/SG,WAS,32,6700,37.75,14.51,12.34,36.98,31.7
Walker Kessler,C,UTA,31,6600,35.27,7.96,11.78,35.35,31.9
John Collins,PF/C,UTA,0,6600,0.0,0.06,0.0,0.0,0.0
Jonathan Kuminga,PF,GSW,0,6500,0.0,0.06,0.0,0.0,0.0
Cole Anthony,PG/SG,ORL,11,6500,10.78,0.0,6.76,11.6,15.1
Jakob Poeltl,C,TOR,31,6400,36.2,15.23,12.6,36.72,30.6
Coby White,PG/SG,CHI,0,6300,0.0,0.06,0.0,0.0,0.0
Andrew Wiggins,SF/PF,GSW,34,6300,33.81,6.38,9.63,32.61,32.1
Mikal Bridges,SG/SF,NYK,39,6300,31.4,2.24,5.96,30.33,38.0
Onyeka Okongwu,C,ATL,28,6200,33.55,6.03,13.16,32.97,29.8
Kelly Oubre Jr.,SG,PHI,38,6100,35.69,10.34,7.66,32.99,37.6
Wendell Carter Jr.,C,ORL,29,6100,26.84,0.32,9.55,25.36,30.6
De'Andre Hunter,SF/PF,ATL,30,6000,30.34,4.6,10.35,30.15,29.9
Goga Bitadze,C,ORL,0,6000,0.0,0.06,0.0,0.0,0.0
Bradley Beal,SG/SF,PHX,27,6000,26.09,1.31,9.75,26.66,27.4
Kyle Kuzma,PF,WAS,29,6000,30.24,3.61,10.85,29.58,28.5
Malcolm Brogdon,PG/SG,WAS,0,5900,0.0,0.06,0.0,0.0,0.0
