DK Name,Predicted Ownership,Scaled Ownership
Daniel Gafford,46.18550002,55.44063791385935
Kyrie Irving,17.55990778,19.938945221810908
Malcolm Brogdon,27.57005828,32.35361541876733
Kevin Durant,19.2939956,22.089575062776746
Nikola Jokic,21.16442347,24.409294944435437
Damian Lillard,9.469776375,9.905498347748956
Austin Reaves,19.98982951,22.952553946511678
Mason Plumlee,6.157727179,5.797867953537132
Oso Ighodaro,12.30706204,13.424323143193059
Deni Avdija,13.92369111,15.429279685540987
Precious Achiuwa,7.145682269,7.023137904448899
Klay Thompson,14.6980655,16.389665112395388
Jamal Murray,6.694992635,6.464188948856574
Trayce Jackson-Davis,6.411097935,6.11210042919207
Josh Hart,11.63356067,12.589041257496302
Scoot Henderson,10.94131739,11.73051550233814
Russell Westbrook,7.500720806,7.463459590328139
Bobby Portis,13.15364089,14.474257129547075
OG Anunoby,26.11342643,30.54708873206742
Mikal Bridges,18.17827219,20.705845800547017
Tyrese Maxey,10.4937405,11.175426997212323
Michael Porter Jr.,4.413198446,3.634289207212664
Jalen Brunson,17.66259122,20.06629406060099
Corey Kispert,24.70745165,28.803387356255097
Caleb Martin,8.336311071,8.499765444047563
Cade Cunningham,10.30339428,10.939358064528712
Jordan Clarkson,19.4715593,22.309791010024625
Maxi Kleber,4.850851566,4.177070171941315
Jonathan Kuminga,6.535520448,6.266410243412298
Spencer Dinwiddie,5.023066448,4.390652471531892
Joel Embiid,16.01345434,18.021021067468897
Karl-Anthony Towns,15.86893131,17.841782428318087
Quentin Grimes,10.59385336,11.299587781745391
Lauri Markkanen,4.524580481,3.772426114384125
Anthony Davis,13.27208897,14.621157403290482
Jaden Ivey,6.884546199,6.699274823111677
Royce O'Neale,9.153776273,9.513592446980072
Andrew Wiggins,9.557803544,10.014670359848749
Bilal Coulibaly,7.660204917,7.661253084014351
Malik Beasley,2.787381301,1.6179375393998487
Khris Middleton,3.451977277,2.4421748829107557
Bradley Beal,3.508076037,2.511749022066626
Patrick Williams,10.46109416,11.134938740393638
Collin Sexton,4.694887452,3.983642207209864
Rui Hachimura,3.037299566,1.9278882075911579
Max Christie,4.20482936,3.375868169294078
De'Aaron Fox,3.582849447,2.6044836142839767
Paul George,7.11982919,6.991074705263147
Miles McBride,4.453453204,3.684213486016293
Tobias Harris,5.796883388,5.350346544355076
Deandre Ayton,5.053727845,4.428678985871807
Ryan Dunn,3.59342371,2.617597901398929
Zach LaVine,4.343565262,3.547929565154937
Christian Braun,4.834983794,4.157390831841434
Shaedon Sharpe,2.609112696,1.396847363228522
Draymond Green,2.602659901,1.3888445543023655
Dalton Knecht,2.079384544,0.7398741937318993
Alexandre Sarr,4.943520592,4.291999052907009
Gary Trent Jr.,1.431170704,0.0
Tyus Jones,3.758046434,2.821764344789023
Stephen Curry,5.407300956,4.8671832384878755
Guerschon Yabusele,1.875993005,0.48762635015188494
Brook Lopez,3.29768729,2.25082318412284
Carlton Carrington,15.19238863,17.002728685183552
Justin Champagnie,2.167270998,0.8488716899423698
Coby White,3.211568053,2.1440174048322564
Svi Mykhailiuk,0.272295631,0.002006001274008018
Andre Jackson Jr.,2.376218064,1.108009543365422
Brandin Podziemski,1.395043818,0.0
Walker Kessler,2.52206508,1.2888902007391767
Jonas Valanciunas,14.75597142,16.461480506105136
Matas Buzelis,2.702253423,1.5123612516170892
DeMar DeRozan,1.942428869,0.570020649898912
D'Angelo Russell,8.948819565,9.25940346805574
Olivier-Maxence Prosper,0.003,0.002006001962449138
Taurean Prince,2.042792651,0.6944926299404939
Domantas Sabonis,11.50389533,12.428229246520424
Josh Okogie,7.415273989,7.357487751799368
Nikola Vucevic,5.153467613,4.552377058667111
Keegan Murray,4.126184098,3.278331674684609
Julian Strawther,4.323754078,3.523359573367978
Dennis Schroder,5.095787982,4.4808423104186055
Kyshawn George,4.114579811,3.2639399434138516
