DK Name,Predicted Ownership
Daniel Gafford,46.18550002
Kyrie Irving,17.55990778
Malcolm Brogdon,27.57005828
Kevin Durant,19.2939956
Nikola Jokic,21.16442347
Damian Lillard,9.469776375
Austin Reaves,19.98982951
Mason Plumlee,6.157727179
Oso Ighodaro,12.30706204
Deni Avdija,13.92369111
Precious Achiuwa,7.145682269
Klay Thompson,14.6980655
Jamal Murray,6.694992635
Trayce Jackson-Davis,6.411097935
Josh Hart,11.63356067
Scoot Henderson,10.94131739
Russell Westbrook,7.500720806
Bobby Portis,13.15364089
OG Anunoby,26.11342643
Mikal Bridges,18.17827219
Tyrese Maxey,10.4937405
Michael Porter Jr.,4.413198446
Jalen Brunson,17.66259122
Corey Kispert,24.70745165
Caleb Martin,8.336311071
Cade Cunningham,10.30339428
Jordan Clarkson,19.4715593
Maxi Kleber,4.850851566
Jonathan Kuminga,6.535520448
Spencer Dinwiddie,5.023066448
Joel Embiid,16.01345434
Karl-Anthony Towns,15.86893131
Quentin Grimes,10.59385336
Lauri Markkanen,4.524580481
Anthony Davis,13.27208897
Jaden Ivey,6.884546199
Royce O'Neale,9.153776273
Andrew Wiggins,9.557803544
Bilal Coulibaly,7.660204917
Malik Beasley,2.787381301
Khris Middleton,3.451977277
Bradley Beal,3.508076037
Patrick Williams,10.46109416
Collin Sexton,4.694887452
Rui Hachimura,3.037299566
Max Christie,4.20482936
De'Aaron Fox,3.582849447
Paul George,7.11982919
Miles McBride,4.453453204
Tobias Harris,5.796883388
Deandre Ayton,5.053727845
Ryan Dunn,3.59342371
Zach LaVine,4.343565262
Christian Braun,4.834983794
Shaedon Sharpe,2.609112696
Draymond Green,2.602659901
Dalton Knecht,2.079384544
Alexandre Sarr,4.943520592
Gary Trent Jr.,1.431170704
Tyus Jones,3.758046434
Stephen Curry,5.407300956
Guerschon Yabusele,1.875993005
Brook Lopez,3.29768729
Carlton Carrington,15.19238863
Justin Champagnie,2.167270998
Coby White,3.211568053
Svi Mykhailiuk,0.272295631
Andre Jackson Jr.,2.376218064
Brandin Podziemski,1.395043818
Walker Kessler,2.52206508
Jonas Valanciunas,14.75597142
Matas Buzelis,2.702253423
DeMar DeRozan,1.942428869
D'Angelo Russell,8.948819565
Olivier-Maxence Prosper,0.003
Taurean Prince,2.042792651
Domantas Sabonis,11.50389533
Josh Okogie,7.415273989
Nikola Vucevic,5.153467613
Keegan Murray,4.126184098
Julian Strawther,4.323754078
Dennis Schroder,5.095787982
Kyshawn George,4.114579811
Kelly Oubre Jr.,3.258774176
Jerami Grant,0.889988003
Malik Monk,2.002279579
Jalen Duren,2.804046108
Peyton Watson,2.917703515
Anfernee Simons,0.796575833
Kevin Huerter,1.487787482
Josh Giddey,3.121297189
Ausar Thompson,2.828122243
Buddy Hield,0.868937153
Jevon Carter,0.0043
Trey Lyles,0.720618976
AJ Green,1.960888088
Tim Hardaway Jr.,1.995699615
LeBron James,0.0095
Gabe Vincent,3.921250071
Monte Morris,2.393174321
Isaiah Collier,0
Jared Butler,5.281227563
Cameron Payne,0.01
Johnny Juzang,0.307328318
